Population,SampSize,Pcrit,Weighted Mean,Ind. Alleles,r^2  ,Exp(r^2),Ne  ,Low_Parametric,High_Parametric,Low_Jacknife,High_Jacknife,Eff.df
Big_Island,17,0.125,16.3,1927060,0.075026,0.073595,213.5,193.1,238.7,82.3,Infinite,9061
Big_Island,17,0.1,16.3,2905581,0.075135,0.073494,186,173,201.1,74.1,Infinite,7777
Big_Island,17,0.05,16.4,11184809,0.074651,0.07327,221.3,211.8,231.8,105.1,Infinite,19538
French_Frigate_Shoals,9,0.125,7.7,2313603,0.194153,0.18791,47.6,44.9,50.5,7.6,Infinite,543
French_Frigate_Shoals,9,0.1,8,3872679,0.184674,0.179754,60.9,57.7,64.4,10.4,Infinite,779
French_Frigate_Shoals,9,0.05,8,13124241,0.170641,0.179338,-37,Infinite,Infinite,41.1,Infinite,1014
Kauai,15,0.125,13.6,2016677,0.092298,0.091246,291.1,248.3,351.5,23.2,Infinite,614
Kauai,15,0.1,13.7,3567749,0.091642,0.090824,374.9,321.7,448.9,27.1,Infinite,777
Kauai,15,0.05,13.7,8116206,0.091007,0.090678,934.2,735.6,1278.4,32.3,Infinite,964
Kure,10,0.125,9.5,2238618,0.137538,0.144401,-46.5,Infinite,Infinite,169.7,Infinite,2125
Kure,10,0.1,9.6,5191818,0.137727,0.143298,-56.9,Infinite,Infinite,5314.5,Infinite,4886
Maro_Reef,5,0.125,4.8,2088367,0.330091,0.379572,-7.6,Infinite,Infinite,Infinite,Infinite,2610
Maro_Reef,5,0.1,4.9,9059504,0.321914,0.368722,-8,Infinite,Infinite,Infinite,Infinite,5792
Maro_Reef,5,0.05,4.9,9059504,0.321914,0.368722,-8,Infinite,Infinite,Infinite,Infinite,5792
Maui  ,10,0.125,7,2113811,0.205429,0.205902,-653,Infinite,Infinite,3.1,Infinite,182
Maui  ,10,0.1,7.3,3492855,0.191877,0.192774,-345,Infinite,Infinite,4.8,Infinite,212
Molokai,10,0.125,9.2,2184598,0.151985,0.150267,177.6,152,213.2,44.1,Infinite,7453
Molokai,10,0.1,9.3,5226126,0.148342,0.147681,464.1,364.4,638,65.6,Infinite,11490
Oahu,10,0.125,8.7,2130142,0.155797,0.158665,-109.1,Infinite,Infinite,37.1,Infinite,1773
Oahu,10,0.1,9,4976961,0.150404,0.153097,-116,Infinite,Infinite,66.5,Infinite,3590
Pearl_Hermes,4,0.125,3.3,5027084,0.494502,0.630891,-3.4,Infinite,Infinite,Infinite,Infinite,439
Pearl_Hermes,4,0.1,3.3,5027084,0.494502,0.630891,-3.4,Infinite,Infinite,Infinite,Infinite,439
Pearl_Hermes,4,0.05,3.3,5027084,0.494502,0.630891,-3.4,Infinite,Infinite,Infinite,Infinite,439
Pioneer_Banks,3,0.125,2.9,5232747,0.569478,0.810406,-2.2,Infinite,Infinite,Infinite,Infinite,705
Pioneer_Banks,3,0.1,2.9,5232747,0.569478,0.810406,-2.2,Infinite,Infinite,Infinite,Infinite,705
Pioneer_Banks,3,0.05,2.9,5232747,0.569478,0.810406,-2.2,Infinite,Infinite,Infinite,Infinite,705
