,x
Theta_1-L39,1179.17974627316
Theta_1-L61,1211.08635415104
Theta_1-L49,1348.67237688551
Theta_1-L12,979.643380010972
Theta_1-L88,1124.00866321683
Theta_1-L70,1451.92588395264
Theta_1-L4,1257.2247547831
Theta_1-L92,1096.35835651561
Theta_1-L57,996.60850588292
Theta_1-L8,1578.47300332655
Theta_1-L105,1073.48283015987
Theta_1-L34,1150.53578333953
Theta_1-L93,1284.94481312128
Theta_1-L58,948.346071774011
Theta_1-L108,976.546935630573
Theta_1-L21,769.944500240775
Theta_1-L2,1305.20339509592
Theta_1-L104,805.50901218499
Theta_1-L22,870.001119347768
Theta_1-L89,664.273068399418
Theta_1-L81,783.798546495011
Theta_1-L82,929.089457438448
Theta_1-L15,874.001665775686
Theta_1-L94,1048.39064126574
Theta_1-L103,1101.5929671161
Theta_1-L74,1445.72211543901
Theta_1-L77,1040.09292806337
Theta_1-L18,910.984908069895
Theta_1-L71,569.766479531857
Theta_1-L26,1168.35999352466
Theta_1-L7,1292.61742746993
Theta_1-L54,818.932057401175
Theta_1-L23,1075.28506988108
Theta_1-L20,1432.11326059042
Theta_1-L33,527.611073506937
Theta_1-L50,1022.68968530149
Theta_1-L16,1101.57454401323
Theta_1-L47,643.370342565245
Theta_1-L45,1236.2924865681
Theta_1-L37,858.694818066852
Theta_1-L43,842.134681476222
Theta_1-L62,662.738284668332
Theta_1-L87,1006.81467204755
Theta_1-L102,1344.22308228653
Theta_1-L42,974.531553074509
Theta_1-L41,986.47838474766
Theta_1-L83,1117.11905480526
Theta_1-L96,1357.50067722643
Theta_1-L48,1409.3244215783
Theta_1-L72,730.121217426277
Theta_1-L52,863.827130420572
Theta_1-L67,881.935361009537
Theta_1-L35,863.781492747664
Theta_1-L51,963.546709781444
Theta_1-L10,1058.28502006246
Theta_1-L85,604.122882618166
Theta_1-L30,810.595592192404
Theta_1-L9,997.954858996832
Theta_1-L55,778.232866137858
Theta_1-L44,850.796626092103
Theta_1-L86,765.094477461006
Theta_1-L36,1032.15524301532
Theta_1-L53,628.748512492224
Theta_1-L19,1162.0917731344
Theta_1-L60,978.882366445375
Theta_1-L14,911.199090503374
Theta_1-L98,1230.5908411748
Theta_1-L32,1199.42390851738
Theta_1-L101,1609.31495969979
Theta_1-L78,1018.00988438547
Theta_1-L97,1007.76638168674
Theta_1-L59,1166.66407984008
Theta_1-L38,913.687592113622
Theta_1-L76,1170.45071795501
Theta_1-L25,478.82675607229
Theta_1-L100,1118.15227314837
Theta_1-L40,951.431899230545
Theta_1-L13,1093.40637954455
Theta_1-L1,886.896537490769
Theta_1-L73,757.686803321402
Theta_1-L27,786.367778544586
Theta_1-L99,808.33702699657
Theta_1-L68,861.322661742337
Theta_1-L28,961.946569022298
Theta_1-L17,1050.28416565385
Theta_1-L90,1164.59736741587
Theta_1-L107,994.237163430361
Theta_1-L64,691.925233325993
Theta_1-L11,1134.07808504008
Theta_1-L6,856.368359794552
Theta_1-L29,932.112647291055
Theta_1-L24,1299.94123523682
Theta_1-L79,856.175215468691
Theta_1-L56,1244.17552224093
Theta_1-L91,835.557947672416
Theta_1-L65,970.154398452509
Theta_1-L75,1031.11756721973
Theta_1-L3,756.143125525129
Theta_1-L109,1287.40017828367
Theta_1-L95,1352.91982900905
Theta_1-L63,970.850958941495
Theta_1-L66,1381.99212797444
Theta_1-L69,894.343364075284
Theta_1-L106,1035.31234778293
Theta_1-L84,1276.08730137225
Theta_1-L5,931.681593819466
Theta_1-L80,979.012505517187
Theta_1-L46,1068.13593439523
Theta_1-L31,1264.4175603997
Theta_2-L39,88.3649112433265
Theta_2-L61,93.2455700162285
Theta_2-L49,1497.99908761829
Theta_2-L12,43.6714348158246
Theta_2-L88,315.480869454437
Theta_2-L70,2628.17882868265
Theta_2-L4,1593.33031676631
Theta_2-L92,2508.58369531948
Theta_2-L57,1131.92658344606
Theta_2-L8,1660.70827861889
Theta_2-L105,2816.99641571815
Theta_2-L34,89.0317230638253
Theta_2-L93,1276.82132269745
Theta_2-L58,320.322474040994
Theta_2-L108,286.504795083576
