,model,bezier.corrected,lbf,choice,modelprob
1,NWHI_MHI,-72281.296,-35630.638,8,0
2,island,-75311.806,-41691.658,9,0
3,panmixia,-72172.875,-35413.796,7,0
4,stepping.stone,-71256.225,-33580.496,6,0
5,stepping.stone.KO,-69254.509,-29577.064,3,0
6,stepping.stone.KO.D,-55474.157,-2016.36,2,0
7,stepping.stone.KOd,-54465.977,0,1,1
8,stepping.stone.breaks,-71110.231,-33288.508,5,0
9,stepping.stone.breaks.KO,-70307.17,-31682.386,4,0
10,stepping.stone.splits.d,-77896.08,-46860.206,12,0
11,stepping.stone.splitsD,-77091.944,-45251.934,11,0
12,stepping.stone.splitsD.KOsplitd,-76884.099,-44836.244,10,0
