sampleID,population,inRefHom,nonRefHom,InHets,InTransitions,InTransversions,Indels,inSingletons,inMissing,Missing_Percent,Construct_L1,Construct_L2,Construct_L3,Construct_L4
187KURPtu,Kure,1982,13,254,175,92,0,0,584,0.206141899,1.76E-16,9.09E-01,9.13E-02,1.67E-05
188KURPtu,Kure,1709,17,222,155,84,0,3,885,0.312389693,7.12E-03,9.28E-01,6.51E-02,5.45E-06
190KURPtu,Kure,1924,8,245,166,87,0,1,656,0.231556654,1.32E-03,9.14E-01,8.43E-02,4.05E-09
191KURPtu,Kure,1982,13,230,166,77,0,0,608,0.214613484,4.50E-02,8.96E-01,5.84E-02,9.95E-04
192KURPtu,Kure,1894,11,244,168,87,0,0,684,0.241440169,2.24E-05,9.09E-01,6.05E-02,3.06E-02
193KURPtu,Kure,1581,6,203,139,70,0,0,1043,0.36816096,1.02E-01,8.97E-01,5.80E-04,9.56E-11
197KURPtu,Kure,1734,21,223,165,79,0,0,855,0.301800212,1.20E-08,1.00E+00,2.77E-08,4.50E-09
198KURPtu,Kure,1248,12,174,122,64,0,1,1399,0.493822803,3.30E-05,1.00E+00,1.15E-11,2.70E-08
202KURPtu,Kure,1866,16,248,177,87,0,2,703,0.248146841,1.26E-02,9.83E-01,4.07E-03,9.78E-09
204KURPtu,Kure,1907,12,244,176,80,0,0,670,0.236498412,3.47E-02,8.49E-01,1.17E-01,3.17E-06
178PHPtu,PH,1957,10,280,186,104,0,1,586,0.206847864,2.25E-03,8.99E-01,7.34E-02,2.54E-02
180PHPtu,PH,1531,11,206,145,72,0,0,1085,0.382986234,4.39E-02,9.56E-01,2.58E-06,6.91E-08
181PHPtu,PH,1835,10,240,172,78,0,1,748,0.264031062,1.83E-01,8.17E-01,3.53E-09,5.12E-12
164MRPtu,Maro,1743,24,232,163,93,0,3,834,0.294387575,1.58E-01,3.36E-18,1.90E-01,6.52E-01
165MRPtu,Maro,1764,19,189,129,79,0,0,861,0.303918108,1.91E-01,7.10E-04,3.04E-01,5.04E-01
169MRPtu,Maro,1951,19,251,174,96,0,2,612,0.216025415,1.70E-03,8.65E-01,1.23E-01,1.10E-02
172MRPtu,Maro,1995,10,241,147,104,0,5,587,0.207200847,9.58E-08,8.78E-01,1.22E-01,5.33E-04
175MRPtu,Maro,1981,15,257,174,98,0,0,580,0.204729968,5.24E-08,8.87E-01,1.13E-01,1.26E-04
151FFSPtu,FFS,1654,15,177,129,63,0,0,987,0.348393929,4.65E-17,9.95E-01,2.84E-03,2.57E-03
152FFSPtu,FFS,1868,12,255,175,92,0,2,698,0.246381927,1.56E-01,8.32E-01,1.21E-02,5.55E-04
153FFSPtu,FFS,1784,8,231,154,85,0,0,810,0.28591599,2.27E-04,9.77E-01,2.17E-05,2.27E-02
158FFSPtu,FFS,1620,21,181,139,63,0,0,1011,0.356865514,3.20E-02,4.24E-04,8.01E-01,1.66E-01
159FFSPtu,FFS,1423,29,170,138,61,0,0,1211,0.427462054,3.59E-05,3.92E-16,1.00E+00,1.11E-04
160FFSPtu,FFS,1622,24,224,168,80,0,1,963,0.339922344,1.53E-10,1.54E-04,8.81E-01,1.19E-01
161FFSPtu,FFS,1881,14,238,159,93,0,1,700,0.247087893,2.24E-05,9.67E-01,3.27E-02,3.44E-04
