# [1]Sample ID	[2]ts/tv	[3]het/hom	[4]nSNPs	[5]nIndels	[6]Average depth	[7]nSingletons	[8]Sample name
0	1.902174	19.538462	267	0	0.000000	0	187KURPtu
1	1.845238	13.058824	239	0	0.000000	3	188KURPtu
2	1.908046	30.625000	253	0	0.000000	1	190KURPtu
3	2.155844	17.692308	243	0	0.000000	0	191KURPtu
4	1.931034	22.181818	255	0	0.000000	0	192KURPtu
5	1.985714	33.833333	209	0	0.000000	0	193KURPtu
6	2.088608	10.619048	244	0	0.000000	0	197KURPtu
7	1.906250	14.500000	186	0	0.000000	1	198KURPtu
8	2.034483	15.500000	264	0	0.000000	2	202KURPtu
9	2.200000	20.333333	256	0	0.000000	0	204KURPtu
10	1.788462	28.000000	290	0	0.000000	1	178PHPtu
11	2.013889	18.727273	217	0	0.000000	0	180PHPtu
12	2.205128	24.000000	250	0	0.000000	1	181PHPtu
13	1.752688	9.666667	256	0	0.000000	3	164MRPtu
14	1.632911	9.947368	208	0	0.000000	0	165MRPtu
15	1.812500	13.210526	270	0	0.000000	2	169MRPtu
16	1.413462	24.100000	251	0	0.000000	5	172MRPtu
17	1.775510	17.133333	272	0	0.000000	0	175MRPtu
18	2.047619	11.800000	192	0	0.000000	0	151FFSPtu
19	1.902174	21.250000	267	0	0.000000	2	152FFSPtu
20	1.811765	28.875000	239	0	0.000000	0	153FFSPtu
21	2.206349	8.619048	202	0	0.000000	0	158FFSPtu
22	2.262295	5.862069	199	0	0.000000	0	159FFSPtu
23	2.100000	9.333333	248	0	0.000000	1	160FFSPtu
24	1.709677	17.000000	252	0	0.000000	1	161FFSPtu
25	1.372340	14.928571	223	0	0.000000	1	445KAPtu
26	1.402439	18.700000	197	0	0.000000	1	458KAPtu
27	1.787500	12.937500	223	0	0.000000	0	460KAPtu
28	1.974359	22.200000	232	0	0.000000	1	461KAPtu
29	1.797619	13.687500	235	0	0.000000	0	469KAPtu
30	1.376238	16.142857	240	0	0.000000	1	471KAPtu
31	1.662651	17.416667	221	0	0.000000	0	478KAPtu
32	1.670588	15.214286	227	0	0.000000	0	480KAPtu
33	1.781818	14.300000	153	0	0.000000	0	481KAPtu
34	1.680556	26.571429	193	0	0.000000	3	482KAPtu
35	2.593220	29.285714	212	0	0.000000	1	483KAPtu
36	1.382353	33.714286	243	0	0.000000	2	485KAPtu
37	1.600000	18.000000	247	0	0.000000	2	486KAPtu
38	1.922078	17.750000	225	0	0.000000	0	491KAPtu
39	2.587302	15.142857	226	0	0.000000	3	93OAPtu
40	2.107143	51.200000	261	0	0.000000	0	92OAPtu
41	1.939394	10.411765	194	0	0.000000	1	113OAPtu
42	2.072289	35.428571	255	0	0.000000	2	127OAPtu
43	1.588785	18.785714	277	0	0.000000	2	132OAPtu
44	1.741176	14.533333	233	0	0.000000	1	314MOPtu
45	1.790698	8.230769	240	0	0.000000	4	319MOPtu
46	2.171053	8.640000	241	0	0.000000	0	322MOPtu
47	1.844444	7.000000	256	0	0.000000	0	326MOPtu
48	2.106667	22.300000	233	0	0.000000	1	348MOPtu
49	1.628205	21.777778	205	0	0.000000	1	350MOPtu
50	1.586667	11.933333	194	0	0.000000	3	352MOPtu
51	1.681818	12.615385	177	0	0.000000	2	85MAPtu
52	2.089744	7.607143	241	0	0.000000	0	220MAPtu
53	1.921875	14.583333	187	0	0.000000	2	222MAPtu
54	2.196721	10.470588	195	0	0.000000	0	233MAPtu
55	1.831325	22.500000	235	0	0.000000	2	393BIPtu
56	2.112500	8.222222	249	0	0.000000	1	397BIPtu
57	2.266667	15.333333	245	0	0.000000	0	398BIPtu
58	1.646341	14.500000	217	0	0.000000	1	399BIPtu
59	2.023256	10.304348	260	0	0.000000	1	405BIPtu
60	1.948052	12.352941	227	0	0.000000	1	408BIPtu
61	1.372093	14.692308	204	0	0.000000	1	412BIPtu
62	1.750000	22.571429	165	0	0.000000	1	413BIPtu
63	1.515789	9.863636	239	0	0.000000	0	414BIPtu
64	2.090909	25.444444	238	0	0.000000	0	415BIPtu
65	1.540230	16.000000	221	0	0.000000	1	420BIPtu
66	1.282353	15.166667	194	0	0.000000	0	421BIPtu
67	1.785714	15.714286	234	0	0.000000	3	422BIPtu
68	1.912621	10.538462	300	0	0.000000	0	423BIPtu
69	1.869048	7.925926	241	0	0.000000	0	424BIPtu
70	1.755556	12.777778	248	0	0.000000	1	428BIPtu
71	1.810127	6.928571	222	0	0.000000	3	429BIPtu
