IndID	PopID	Region	SampleID	Name
187KURPtu	Kure	Low	1	Holaniku
188KURPtu	Kure	Low	2	Holaniku
190KURPtu	Kure	Low	3	Holaniku
191KURPtu	Kure	Low	4	Holaniku
192KURPtu	Kure	Low	5	Holaniku
193KURPtu	Kure	Low	6	Holaniku
197KURPtu	Kure	Low	7	Holaniku
198KURPtu	Kure	Low	8	Holaniku
202KURPtu	Kure	Low	9	Holaniku
204KURPtu	Kure	Low	10	Holaniku
178PHPtu	Pearl_Hermes	Low	11	Manawai
180PHPtu	Pearl_Hermes	Low	13	Manawai
181PHPtu	Pearl_Hermes	Low	14	Manawai
164MRPtu	Maro_Reef	Low	15	Kamo
165MRPtu	Maro_Reef	Low	16	Kamo
169MRPtu	Maro_Reef	Low	17	Kamo
172MRPtu	Maro_Reef	Low	18	Kamo
175MRPtu	Maro_Reef	Low	19	Kamo
151FFSPtu	French_Frigate_Shoals	Low	22	Lalo
152FFSPtu	French_Frigate_Shoals	Low	23	Lalo
153FFSPtu	French_Frigate_Shoals	Low	24	Lalo
158FFSPtu	French_Frigate_Shoals	Low	25	Lalo
159FFSPtu	French_Frigate_Shoals	Low	26	Lalo
160FFSPtu	French_Frigate_Shoals	Low	27	Lalo
161FFSPtu	French_Frigate_Shoals	Low	28	Lalo
445KAPtu	Kauai	High	29	Kaua'i
458KAPtu	Kauai	High	31	Kaua'i
460KAPtu	Kauai	High	32	Kaua'i
461KAPtu	Kauai	High	33	Kaua'i
469KAPtu	Kauai	High	34	Kaua'i
471KAPtu	Kauai	High	35	Kaua'i
478KAPtu	Kauai	High	36	Kaua'i
480KAPtu	Kauai	High	37	Kaua'i
481KAPtu	Kauai	High	38	Kaua'i
482KAPtu	Kauai	High	39	Kaua'i
483KAPtu	Kauai	High	40	Kaua'i
485KAPtu	Kauai	High	41	Kaua'i
486KAPtu	Kauai	High	42	Kaua'i
491KAPtu	Kauai	High	43	Kaua'i
93OAPtu	Oahu	High	44	Kaua'i
92OAPtu	Oahu	High	45	O'ahu
113OAPtu	Oahu	High	46	O'ahu
127OAPtu	Oahu	High	49	O'ahu
132OAPtu	Oahu	High	51	O'ahu
314MOPtu	Molokai	High	54	Moloka'i
319MOPtu	Molokai	High	56	Moloka'i
322MOPtu	Molokai	High	57	Moloka'i
326MOPtu	Molokai	High	58	Moloka'i
348MOPtu	Molokai	High	61	Moloka'i
350MOPtu	Molokai	High	62	Moloka'i
352MOPtu	Molokai	High	63	Moloka'i
85MAPtu	Maui	High	67	Maui
220MAPtu	Maui	High	68	Maui
222MAPtu	Maui	High	69	Maui
233MAPtu	Maui	High	71	Maui
393BIPtu	Hawaii	High	74	Maui
397BIPtu	Hawaii	High	75	Maui
398BIPtu	Hawaii	High	76	Maui
399BIPtu	Hawaii	High	77	Maui
405BIPtu	Hawaii	High	78	Maui
408BIPtu	Hawaii	High	79	Maui
412BIPtu	Hawaii	High	80	Hawai'i
413BIPtu	Hawaii	High	81	Hawai'i
414BIPtu	Hawaii	High	82	Hawai'i
415BIPtu	Hawaii	High	83	Hawai'i
420BIPtu	Hawaii	High	84	Hawai'i
421BIPtu	Hawaii	High	85	Hawai'i
422BIPtu	Hawaii	High	86	Hawai'i
423BIPtu	Hawaii	High	87	Hawai'i
424BIPtu	Hawaii	High	88	Hawai'i
428BIPtu	Hawaii	High	89	Hawai'i
429BIPtu	Hawaii	High	90	Hawai'i
