SampleID	IndID	PopID	Name
29	187KURPtu	Kure 	Holaniku
30	188KURPtu	Kure 	Holaniku
31	190KURPtu	Kure 	Holaniku
32	191KURPtu	Kure 	Holaniku
33	192KURPtu	Kure 	Holaniku
34	193KURPtu	Kure 	Holaniku
35	197KURPtu	Kure 	Holaniku
36	198KURPtu	Kure 	Holaniku
37	202KURPtu	Kure 	Holaniku
38	204KURPtu	Kure 	Holaniku
25	178PHPtu	P&H	Manawai
26	179PHPtu	P&H	Manawai
27	180PHPtu	P&H	Manawai
28	181PHPtu	P&H	Manawai
20	164MRPtu	MaroReef	Kamo
21	165MRPtu	MaroReef	Kamo
22	169MRPtu	MaroReef	Kamo
23	172MRPtu	MaroReef	Kamo
24	175MRPtu	MaroReef	Kamo
11	149FFSPtu	FFS	Lalo
12	150FFSPtu	FFS	Lalo
13	151FFSPtu	FFS	Lalo
14	152FFSPtu	FFS	Lalo
15	153FFSPtu	FFS	Lalo
16	158FFSPtu	FFS	Lalo
17	159FFSPtu	FFS	Lalo
18	160FFSPtu	FFS	Lalo
19	161FFSPtu	FFS	Lalo
79	445KAPtu	Kauai	Kaua'i
80	451KAPtu	Kauai	Kaua'i
81	458KAPtu	Kauai	Kaua'i
82	460KAPtu	Kauai	Kaua'i
83	461KAPtu	Kauai	Kaua'i
84	469KAPtu	Kauai	Kaua'i
85	471KAPtu	Kauai	Kaua'i
86	478KAPtu	Kauai	Kaua'i
87	480KAPtu	Kauai	Kaua'i
88	481KAPtu	Kauai	Kaua'i
89	482KAPtu	Kauai	Kaua'i
90	483KAPtu	Kauai	Kaua'i
91	485KAPtu	Kauai	Kaua'i
92	486KAPtu	Kauai	Kaua'i
93	491KAPtu	Kauai	Kaua'i
2	92OAPtu	Oahu	O'ahu
1	93OAPtu	Oahu	O'ahu
8	132OAPtu	Oahu	O'ahu
9	133OAPtu	Oahu	O'ahu
10	137OAPtu	Oahu	O'ahu
3	113OAPtu	Oahu	O'ahu
4	117OAPtu	Oahu	O'ahu
5	123OAPtu	Oahu	O'ahu
6	127OAPtu	Oahu	O'ahu
7	129OAPtu	Oahu	O'ahu
52	314MOPtu	Molokai	Moloka'i
53	317MOPtu	Molokai	Moloka'i
54	319MOPtu	Molokai	Moloka'i
55	322MOPtu	Molokai	Moloka'i
56	326MOPtu	Molokai	Moloka'i
57	330MOPtu	Molokai	Moloka'i
58	332MOPtu	Molokai	Moloka'i
59	348MOPtu	Molokai	Moloka'i
60	350MOPtu	Molokai	Moloka'i
61	352MOPtu	Molokai	Moloka'i
42	78MAPtu	Maui	Maui
43	79MAPtu	Maui	Maui
44	80MAPtu	Maui	Maui
45	85MAPtu	Maui	Maui
46	220MAPtu	Maui	Maui
47	222MAPtu	Maui	Maui
48	228MAPtu	Maui	Maui
49	233MAPtu	Maui	Maui
50	238MAPtu	Maui	Maui
51	246MAPtu	Maui	Maui
62	393BIPtu	BigIsland	Hawai'i
63	397BIPtu	BigIsland	Hawai'i
64	398BIPtu	BigIsland	Hawai'i
65	399BIPtu	BigIsland	Hawai'i
66	405BIPtu	BigIsland	Hawai'i
67	408BIPtu	BigIsland	Hawai'i
68	412BIPtu	BigIsland	Hawai'i
69	413BIPtu	BigIsland	Hawai'i
70	414BIPtu	BigIsland	Hawai'i
71	415BIPtu	BigIsland	Hawai'i
72	420BIPtu	BigIsland	Hawai'i
73	421BIPtu	BigIsland	Hawai'i
74	422BIPtu	BigIsland	Hawai'i
75	423BIPtu	BigIsland	Hawai'i
76	424BIPtu	BigIsland	Hawai'i
77	428BIPtu	BigIsland	Hawai'i
78	429BIPtu	BigIsland	Hawai'i
