


Bayesian estimates
==================

Locus Parameter        2.5%      25.0%    mode     75.0%   97.5%     median   mean
-----------------------------------------------------------------------------------
    1  Theta_1         0.00065  0.00180  0.00268  0.00345  0.00460  0.00273  0.00266
    1  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   382.50
    2  Theta_1         0.00050  0.00165  0.00248  0.00330  0.00440  0.00253  0.00250
    2  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   246.43
    3  Theta_1         0.00095  0.00215  0.00298  0.00380  0.00500  0.00303  0.00300
    3  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   201.29
    4  Theta_1         0.00065  0.00180  0.00263  0.00345  0.00460  0.00268  0.00264
    4  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   376.29
    5  Theta_1         0.00100  0.00220  0.00308  0.00385  0.00505  0.00313  0.00308
    5  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   128.40
    6  Theta_1         0.00060  0.00175  0.00258  0.00340  0.00455  0.00263  0.00259
    6  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   377.77
    7  Theta_1         0.00100  0.00220  0.00308  0.00385  0.00505  0.00313  0.00306
    7  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   202.19
    8  Theta_1         0.00075  0.00195  0.00283  0.00360  0.00480  0.00288  0.00282
    8  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   378.58
    9  Theta_1         0.00090  0.00210  0.00293  0.00375  0.00490  0.00298  0.00293
    9  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   103.41
   10  Theta_1         0.00045  0.00160  0.00243  0.00325  0.00430  0.00248  0.00243
   10  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   360.10
   11  Theta_1         0.00125  0.00245  0.00333  0.00415  0.00535  0.00338  0.00334
   11  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   130.42
   12  Theta_1         0.00070  0.00190  0.00273  0.00355  0.00470  0.00283  0.00276
   12  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   375.64
   13  Theta_1         0.00080  0.00200  0.00288  0.00370  0.00490  0.00293  0.00287
   13  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   305.43
   14  Theta_1         0.00040  0.00145  0.00233  0.00310  0.00420  0.00238  0.00231
   14  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   349.31
   15  Theta_1         0.00060  0.00175  0.00263  0.00340  0.00455  0.00268  0.00262
   15  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   371.26
   16  Theta_1         0.00075  0.00195  0.00283  0.00360  0.00480  0.00288  0.00282
   16  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   377.36
   17  Theta_1         0.00075  0.00190  0.00278  0.00355  0.00475  0.00283  0.00277
   17  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   373.76
   18  Theta_1         0.00095  0.00225  0.00313  0.00395  0.00525  0.00318  0.00315
   18  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   320.27
   19  Theta_1         0.00040  0.00150  0.00238  0.00315  0.00425  0.00243  0.00236
   19  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   367.49
   20  Theta_1         0.00060  0.00175  0.00263  0.00340  0.00455  0.00268  0.00262
   20  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   374.65
   21  Theta_1         0.00080  0.00200  0.00288  0.00370  0.00490  0.00293  0.00287
   21  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   349.42
   22  Theta_1         0.00165  0.00300  0.00388  0.00470  0.00600  0.00393  0.00388
   22  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   121.74
   23  Theta_1         0.00070  0.00185  0.00273  0.00350  0.00470  0.00278  0.00273
   23  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   380.52
   24  Theta_1         0.00045  0.00155  0.00243  0.00320  0.00430  0.00248  0.00241
   24  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   334.99
   25  Theta_1         0.00080  0.00195  0.00283  0.00360  0.00480  0.00288  0.00282
   25  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   391.12
   26  Theta_1         0.00110  0.00230  0.00318  0.00395  0.00515  0.00323  0.00317
   26  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00    89.98
   27  Theta_1         0.00105  0.00230  0.00313  0.00395  0.00510  0.00318  0.00313
   27  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00    83.40
   28  Theta_1         0.00045  0.00155  0.00243  0.00320  0.00430  0.00248  0.00242
   28  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   282.61
   29  Theta_1         0.00045  0.00155  0.00238  0.00320  0.00430  0.00243  0.00240
   29  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   355.84
   30  Theta_1         0.00110  0.00235  0.00323  0.00405  0.00525  0.00328  0.00323
   30  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   219.66
   31  Theta_1         0.00035  0.00145  0.00233  0.00310  0.00420  0.00238  0.00232
   31  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   353.27
   32  Theta_1         0.00060  0.00175  0.00263  0.00340  0.00455  0.00268  0.00261
   32  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   378.07
   33  Theta_1         0.00160  0.00285  0.00373  0.00455  0.00585  0.00378  0.00375
   33  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00    94.82
   34  Theta_1         0.00080  0.00200  0.00283  0.00365  0.00480  0.00288  0.00285
   34  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   384.44
   35  Theta_1         0.00065  0.00175  0.00263  0.00340  0.00455  0.00268  0.00263
   35  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   385.68
   36  Theta_1         0.00090  0.00220  0.00308  0.00390  0.00510  0.00313  0.00306
   36  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   324.60
   37  Theta_1         0.00080  0.00200  0.00283  0.00365  0.00485  0.00288  0.00284
   37  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   378.85
   38  Theta_1         0.00160  0.00290  0.00378  0.00460  0.00590  0.00383  0.00380
   38  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00    87.07
   39  Theta_1         0.00050  0.00160  0.00243  0.00325  0.00435  0.00248  0.00244
   39  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   349.40
   40  Theta_1         0.00065  0.00180  0.00263  0.00345  0.00460  0.00268  0.00264
   40  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   374.87
   41  Theta_1         0.00140  0.00270  0.00358  0.00440  0.00560  0.00363  0.00356
   41  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   128.81
   42  Theta_1         0.00130  0.00250  0.00338  0.00420  0.00545  0.00343  0.00340
   42  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00    97.03
   43  Theta_1         0.00040  0.00155  0.00238  0.00320  0.00425  0.00243  0.00239
   43  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   334.59
   44  Theta_1         0.00075  0.00195  0.00283  0.00360  0.00480  0.00288  0.00282
   44  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   381.46
   45  Theta_1         0.00100  0.00220  0.00308  0.00385  0.00505  0.00313  0.00307
   45  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00    97.89
   46  Theta_1         0.00070  0.00185  0.00268  0.00350  0.00465  0.00273  0.00270
   46  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   385.11
   47  Theta_1         0.00075  0.00195  0.00283  0.00360  0.00480  0.00288  0.00283
   47  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   380.05
   48  Theta_1         0.00055  0.00170  0.00258  0.00335  0.00450  0.00263  0.00257
   48  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   378.98
   49  Theta_1         0.00065  0.00180  0.00263  0.00345  0.00460  0.00268  0.00264
   49  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   379.85
   50  Theta_1         0.00110  0.00235  0.00323  0.00405  0.00535  0.00328  0.00324
   50  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   308.67
   51  Theta_1         0.00075  0.00190  0.00278  0.00355  0.00475  0.00283  0.00277
   51  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   386.48
   52  Theta_1         0.00070  0.00190  0.00273  0.00355  0.00465  0.00278  0.00273
   52  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   384.75
   53  Theta_1         0.00135  0.00260  0.00348  0.00430  0.00555  0.00353  0.00350
   53  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00    92.17
   54  Theta_1         0.00105  0.00230  0.00318  0.00400  0.00525  0.00323  0.00318
   54  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   268.19
   55  Theta_1         0.00180  0.00310  0.00403  0.00485  0.00620  0.00408  0.00403
   55  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00    98.27
   56  Theta_1         0.00065  0.00180  0.00268  0.00345  0.00460  0.00273  0.00266
   56  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   368.19
   57  Theta_1         0.00105  0.00235  0.00323  0.00405  0.00530  0.00328  0.00322
   57  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   299.55
   58  Theta_1         0.00065  0.00185  0.00268  0.00350  0.00465  0.00273  0.00270
