


Bayesian estimates
==================

Locus Parameter        2.5%      25.0%    mode     75.0%   97.5%     median   mean
-----------------------------------------------------------------------------------
    1  Theta_1         0.00054  0.00132  0.00182  0.00239  0.00383  0.00200  0.00210
    1  Theta_2         0.00015  0.00078  0.00117  0.00157  0.00245  0.00125  0.00128
    1  Theta_3         0.00015  0.00086  0.00130  0.00179  0.00310  0.00146  0.00155
    1  Theta_4         0.00056  0.00131  0.00179  0.00233  0.00369  0.00195  0.00204
    1  Theta_5         0.00100  0.00188  0.00238  0.00295  0.00431  0.00252  0.00259
    1  Theta_6         0.00063  0.00139  0.00186  0.00238  0.00367  0.00200  0.00208
    1  Theta_7         0.00062  0.00148  0.00197  0.00252  0.00392  0.00211  0.00220
    1  Theta_8         0.00065  0.00143  0.00194  0.00248  0.00382  0.00208  0.00216
    1  Theta_9         0.00110  0.00198  0.00254  0.00313  0.00456  0.00268  0.00276
    1  M_2->3             0.00     0.00  1525.88 28076.17 64697.27 28381.35   808.17
    1  M_3->4             0.00     0.00  1525.88 27465.82 64086.91 27771.00   751.17
    1  M_4->5             0.00     0.00  1525.88 27465.82 64086.91 27771.00   685.61
    1  M_5->6             0.00     0.00  1525.88 27465.82 64086.91 27771.00   702.45
    1  M_6->7             0.00     0.00  1525.88 27465.82 64086.91 27771.00   738.76
    1  M_7->8             0.00     0.00  1525.88 27465.82 64086.91 27771.00   721.31
    1  M_8->9             0.00     0.00  1525.88 27465.82 64086.91 27771.00   701.14
    1  D_6->1          0.00000  0.00020  0.00103  0.00173  0.00333  0.00150  0.00103
    1  D_2->3          0.00000  0.00020  0.00097  0.00167  0.00327  0.00143  0.00098
    1  D_3->4          0.00000  0.00020  0.00103  0.00173  0.00327  0.00150  0.00104
    1  D_4->5          0.00000  0.00027  0.00110  0.00180  0.00333  0.00157  0.00111
    1  D_5->6          0.00000  0.00027  0.00110  0.00180  0.00333  0.00150  0.00109
    1  D_6->7          0.00000  0.00027  0.00103  0.00180  0.00340  0.00150  0.00107
    1  D_7->8          0.00000  0.00027  0.00110  0.00180  0.00347  0.00157  0.00110
    1  D_8->9          0.00000  0.00027  0.00117  0.00187  0.00353  0.00157  0.00117
    2  Theta_1         0.00048  0.00128  0.00179  0.00236  0.00383  0.00196  0.00206
    2  Theta_2         0.00007  0.00066  0.00105  0.00143  0.00225  0.00111  0.00115
    2  Theta_3         0.00009  0.00078  0.00125  0.00177  0.00321  0.00144  0.00155
    2  Theta_4         0.00054  0.00132  0.00182  0.00240  0.00392  0.00202  0.00213
    2  Theta_5         0.00112  0.00200  0.00254  0.00321  0.00480  0.00276  0.00286
    2  Theta_6         0.00056  0.00130  0.00176  0.00227  0.00353  0.00190  0.00197
    2  Theta_7         0.00071  0.00157  0.00215  0.00276  0.00437  0.00232  0.00243
    2  Theta_8         0.00075  0.00161  0.00216  0.00280  0.00444  0.00236  0.00247
    2  Theta_9         0.00104  0.00192  0.00247  0.00311  0.00465  0.00266  0.00276
    2  M_2->3             0.00     0.00  1525.88 28076.17 64697.27 28381.35   907.59
    2  M_3->4             0.00     0.00  1525.88 28076.17 64697.27 28381.35   823.41
    2  M_4->5             0.00     0.00  1525.88 27465.82 64086.91 27771.00   731.11
    2  M_5->6             0.00     0.00  1525.88 27465.82 64086.91 27771.00   681.68
    2  M_6->7             0.00     0.00  1525.88 28076.17 64697.27 28381.35   828.34
    2  M_7->8             0.00     0.00  1525.88 28076.17 64086.91 28381.35   776.29
    2  M_8->9             0.00     0.00  1525.88 27465.82 64086.91 27771.00   735.10
    2  D_6->1          0.00000  0.00013  0.00090  0.00160  0.00333  0.00143  0.00096
    2  D_2->3          0.00000  0.00013  0.00097  0.00160  0.00333  0.00143  0.00097
    2  D_3->4          0.00000  0.00020  0.00103  0.00173  0.00347  0.00150  0.00107
    2  D_4->5          0.00000  0.00027  0.00110  0.00187  0.00360  0.00157  0.00116
    2  D_5->6          0.00000  0.00033  0.00123  0.00200  0.00380  0.00163  0.00127
    2  D_6->7          0.00000  0.00027  0.00103  0.00180  0.00353  0.00157  0.00109
    2  D_7->8          0.00000  0.00027  0.00110  0.00187  0.00360  0.00157  0.00113
    2  D_8->9          0.00000  0.00033  0.00117  0.00193  0.00380  0.00163  0.00122
    3  Theta_1         0.00059  0.00150  0.00208  0.00273  0.00460  0.00230  0.00245
    3  Theta_2         0.00004  0.00067  0.00107  0.00149  0.00242  0.00117  0.00122
    3  Theta_3         0.00011  0.00087  0.00136  0.00194  0.00352  0.00158  0.00170
    3  Theta_4         0.00056  0.00142  0.00197  0.00262  0.00441  0.00220  0.00234
    3  Theta_5         0.00118  0.00228  0.00289  0.00365  0.00549  0.00313  0.00326
    3  Theta_6         0.00067  0.00151  0.00202  0.00260  0.00413  0.00219  0.00231
    3  Theta_7         0.00062  0.00147  0.00201  0.00267  0.00435  0.00225  0.00237
    3  Theta_8         0.00082  0.00169  0.00229  0.00294  0.00467  0.00250  0.00262
    3  Theta_9         0.00145  0.00242  0.00302  0.00393  0.00573  0.00341  0.00352
    3  M_2->3             0.00     0.00  1525.88 28076.17 64697.27 28381.35   901.93
    3  M_3->4             0.00     0.00  1525.88 27465.82 64086.91 27771.00   754.36
    3  M_4->5             0.00     0.00  1525.88 27465.82 64086.91 27771.00   705.98
    3  M_5->6             0.00     0.00  1525.88 27465.82 64086.91 27771.00   717.39
    3  M_6->7             0.00     0.00  1525.88 27465.82 64086.91 27771.00   748.72
    3  M_7->8             0.00     0.00  1525.88 28076.17 64086.91 28381.35   769.33
    3  M_8->9             0.00     0.00  1525.88 28076.17 64086.91 28381.35   762.32
    3  D_6->1          0.00000  0.00020  0.00103  0.00173  0.00347  0.00150  0.00106
    3  D_2->3          0.00000  0.00020  0.00103  0.00173  0.00347  0.00150  0.00105
    3  D_3->4          0.00000  0.00027  0.00117  0.00187  0.00367  0.00163  0.00119
    3  D_4->5          0.00000  0.00033  0.00117  0.00193  0.00367  0.00163  0.00124
    3  D_5->6          0.00000  0.00040  0.00130  0.00207  0.00393  0.00170  0.00133
    3  D_6->7          0.00000  0.00027  0.00110  0.00187  0.00367  0.00157  0.00118
    3  D_7->8          0.00000  0.00033  0.00117  0.00193  0.00380  0.00163  0.00124
    3  D_8->9          0.00000  0.00033  0.00117  0.00193  0.00373  0.00163  0.00122
    4  Theta_1         0.00052  0.00134  0.00184  0.00240  0.00388  0.00201  0.00211
    4  Theta_2         0.00010  0.00073  0.00111  0.00150  0.00236  0.00118  0.00122
    4  Theta_3         0.00016  0.00085  0.00130  0.00180  0.00312  0.00146  0.00156
    4  Theta_4         0.00059  0.00139  0.00190  0.00244  0.00383  0.00204  0.00213
    4  Theta_5         0.00099  0.00184  0.00235  0.00297  0.00435  0.00253  0.00261
    4  Theta_6         0.00062  0.00139  0.00186  0.00237  0.00363  0.00199  0.00206
    4  Theta_7         0.00065  0.00148  0.00199  0.00256  0.00405  0.00216  0.00226
    4  Theta_8         0.00062  0.00142  0.00191  0.00244  0.00378  0.00204  0.00212
    4  Theta_9         0.00109  0.00198  0.00252  0.00316  0.00462  0.00270  0.00278
    4  M_2->3             0.00     0.00  1525.88 28076.17 64697.27 28381.35   841.09
    4  M_3->4             0.00     0.00  1525.88 27465.82 64086.91 27771.00   742.78
    4  M_4->5             0.00     0.00  1525.88 27465.82 64086.91 27771.00   682.22
    4  M_5->6             0.00     0.00  1525.88 27465.82 64086.91 27771.00   709.81
    4  M_6->7             0.00     0.00  1525.88 27465.82 64086.91 27771.00   759.31
    4  M_7->8             0.00     0.00  1525.88 27465.82 64086.91 27771.00   744.95
    4  M_8->9             0.00     0.00  1525.88 27465.82 64086.91 27771.00   704.34
    4  D_6->1          0.00000  0.00020  0.00097  0.00167  0.00327  0.00150  0.00100
    4  D_2->3          0.00000  0.00020  0.00097  0.00167  0.00327  0.00143  0.00097
