"","Mean","SD","lower","upper","ess","Point est.","Upper C.I."
"Steps",2500000,1443351.61644822,100,4750000,0,NA,NA
"Locus",1,0,1,1,0,NA,NA
"Replicate",2,0.816499302651039,1,3,0,Inf,NA
"lnPost",9617.58117246808,2420.30495899918,5689.591002,14098.738557,115.160809532436,3.29598196638288,6.16731195633467
"lnDataL",-1460.46914770523,13.3181858715498,-1487.281949,-1435.51938,416.629256285447,1.11581045173425,1.35116095467417
"lnPrbGParam",11078.0503201752,2420.52017142075,7208.721056,15620.041803,115.67016877004,3.30090548066898,6.17644153529858
"lnPrior",-150.37411530984,7.37387688977977,-168.165703,-139.80034,368.948510750501,2.28221473592835,4.48815772580045
"treeintervals",1731.11891571165,248.342747996694,1306,2165,122.200626987376,2.81860399220621,5.31556159702756
"treelength",0.181914762355247,0.0248006803072184,0.139514,0.235989,199.895446964993,1.18118792058003,1.51426118317717
"Theta_1",0.0308631647299613,0.013315895090743,0.00917,0.05734,979.933867963621,1.03826736416973,1.12711996090021
"Theta_2",0.0144623543137529,0.00304856746188754,0.0088,0.02061,238.607429253668,1.14906775190065,1.44011790890382
"Theta_3",0.04524489716461,0.0167749719980851,0.01644,0.07718,375.587877531963,1.35411349627013,1.93452541995599
"Theta_4",0.0157847751689034,0.0133569262142243,2.852e-05,0.04134,2095.4501178032,1.6822015014221,2.729597580145
"Theta_5",0.0290383855603779,0.016232571981461,0.00048353,0.05972,790.85949679624,1.44723934471074,2.18569719222509
"Theta_6",0.0142859971390761,0.0122166420836368,2.404e-05,0.03902,11447.4777444967,1.07097938757325,1.22354818244279
"Theta_7",0.0137347488242432,0.0110708955218936,8.631e-05,0.0356,6777.52482545447,1.04709748826299,1.14991308930669
"Theta_8",0.0148516815826317,0.0107255134915599,0.00049159,0.03531,947.158404222469,1.04936117578735,1.16051777338051
"M_2_1",4829.96402828057,2387.15449706957,1599.5,10023,138.660666577874,2.40080931769019,5.37912179867525
"M_1_2",769.320534756495,665.388842228304,0.00245,2194,39.8813451555199,1.80849694013657,3.35188741252311
"M_3_2",932.690120333073,764.455745756568,16.764,2816,42.0214426386264,2.35108050364627,4.29002437489923
"M_2_3",5611.48070961419,2954.36569476909,1765.8,11913,45.3948828820344,2.90112806073122,11.294425380283
"M_4_3",1780.58007651513,1255.06165654687,0.02214,4015.3,50.9621478534581,1.60125165946808,3.09012665573978
"M_3_4",140908.486619066,201075.075724233,3276.1,651555,19.3321256897921,3.94381833369683,19.4940662236732
"M_5_4",83299.5846465143,134785.245245633,64.2508,389893,43.022791297041,5.12651679789804,30.2458405458658
"M_4_5",27296.5986033054,42314.2216573682,4283.2,109414,47.6723229317043,2.11848543434565,10.3832675966596
"M_6_5",6248.73896367661,5807.80409842036,0.1175,17828,57.4215815491539,1.88583210170938,3.97608534341189
"M_5_6",214310.91783569,251532.656690313,2046.7,851842,39.8073653459606,4.99817532129786,23.2188553939772
"M_7_6",65941.7859204724,102412.558055355,0.4559,325537,59.0894629022843,2.56959869166706,11.1681202810953
"M_6_7",176572.084685027,220342.582024851,9733.7,683155,34.8334806075769,1.43840946733625,2.71692077222975
"M_8_7",63548.0919232304,145640.574312746,0.03159,440454,62.3062885792809,1.79779520263165,7.86896168079885
"M_7_8",29012.9613056928,41013.3259263544,953.28,117794,57.1429031655005,1.88148518816892,7.90854807218739
"mL_1.000000",-1458.9354727975,1.30372439713373,-1461.153568,-1456.324944,8.44925028472485,2.92983986213205,11.363607026436
"mL_1.500000",-1626.44450042043,5.54918647846034,-1630.493726,-1620.452635,20.0753997717818,10.7434062584913,34.8743199813469
"mL_3.000000",-2299.82670342163,3.30016660905482,-2303.870806,-2293.900122,17.1910383524966,5.27368859726485,15.5319147633793
"mL_100000.000000",-3930.38959557046,24.4419659450645,-3968.470094,-3895.044323,9.32255283067846,3.56597826764902,6.86584979723567
"mL_thermo",-2206.94676159288,3.36549820969794,-2211.691917,-2199.345488,6.4289647319673,1.45543498481624,2.17851745893456
"mL_harmonic",-1506.72628858026,8.31621382278031,-1510.912094,-1484.516707,5.49911865221512,7.94857798234057,25.3786604042632
"Nm_2_1",143.600140893242,92.1169540184285,24.391176,327.75831,728.572172458284,1.51603848312616,2.97444159314563
"Nm_1_2",11.225061315561,10.8599894596871,1.80576e-05,32.936572,75.6653059448769,1.87108601075912,3.87847904674058
"Nm_3_2",13.5428931440182,11.5475811946041,0.238412812,40.594935,63.1948015042097,2.55985611705504,5.36092426995806
"Nm_2_3",232.934938339853,124.320182053999,65.789334,481.898989,407.700443753307,1.7828805905286,4.28652109062244
"Nm_4_3",80.375688004336,62.901965637311,0.0007056018,201.057648,154.955196624,1.40655506416309,2.08912076030415
"Nm_3_4",1424.0166492509,3087.1077966506,9.57889044,6448.34304,707.132917008873,1.59650940544579,5.65435841424634
"Nm_5_4",843.069346906497,2089.13104603052,0.040460094,4471.99024,528.101732850895,1.74886266161216,7.85195434737037
"Nm_4_5",545.445798441148,652.921912871294,57.069516,1417.22432,683.546821356714,1.45470217432471,4.19803086874217
"Nm_6_5",178.329176796095,189.541329805511,0.0003472,563.14016,525.645874322989,2.01749643452835,4.61649708499647
"Nm_5_6",2333.52265600886,4257.34647807617,13.174598,9626.76316,1864.61464351711,1.62408202647196,5.59095833914877
"Nm_7_6",704.557397167606,1580.63671203206,0.00236694,3044.37276,636.180727698272,1.55871092263553,5.19107577226197
"Nm_6_7",1957.77777045756,3543.35675032624,23.6236,8160.26295,1011.45653139437,1.16660117891414,1.55267556260158
"Nm_8_7",709.713304728115,2199.59664126704,0.0001885923,2794.88248,530.584250062893,1.45675450113054,4.73545512505677
"Nm_7_8",343.857417074932,649.723700328803,6.02609,1383.5968,531.016164645219,1.44041097473081,4.28779388414587
