# Phi_st Means
	Oahu	FrenchFrigateShoals	MaroReef	Pearl_Hermes	Kure	PioneerBanks	Maui	Molokai	BigIsland	Kauai
Oahu		0.00254452	0.00100506	-0.0067757	0.00296698	-0.050997	-0.00265339	0.00713063	0.00227813	-0.000683127
FrenchFrigateShoals			0.010686	0.00509682	0.0142049	-0.0294335	-0.00115126	-0.00596026	0.000117796	0.00960932
MaroReef				-0.00413915	0.0159473	-0.0144141	-0.00569567	0.00878941	-0.0133952	-0.000551134
Pearl_Hermes					0.00351249	-0.0334064	-0.0103082	0.00937175	-0.000903407	-0.0130632
Kure						-0.0399794	0.00700755	0.0245592	0.0100952	0.00204464
PioneerBanks							-0.045699	-0.0247229	-0.0454536	-0.0559183
Maui								0.00729146	0.000517289	-0.0016792
Molokai									0.00528861	0.017292
BigIsland										0.00325949

# Fst' Means
	Oahu	FrenchFrigateShoals	MaroReef	Pearl_Hermes	Kure	PioneerBanks	Maui	Molokai	BigIsland	Kauai
Oahu		0.00232768	0.00306897	-0.00929714	-0.0018077	-0.0114284	-0.00340655	0.00540225	0.00132089	-0.00153364
FrenchFrigateShoals			0.00443454	-0.00232427	0.007129	-0.00258409	0.00154229	-0.00422166	0.000383011	0.00517425
MaroReef				-0.00888917	0.00414227	-0.00984965	9.37381e-05	0.00288299	-0.00426118	0.00277313
Pearl_Hermes					-0.00692085	-0.0261186	-0.00713158	0.00350355	-0.000874232	-0.00479356
Kure						-0.0114546	-0.00139073	0.0110917	0.00400284	-0.000902776
PioneerBanks							-0.0115173	0.00237841	-0.00354306	-0.00921452
Maui								0.00366668	-0.000175997	-0.00228832
Molokai									0.000211669	0.00699665
BigIsland										0.00136788

# Dxy Means
	Oahu	FrenchFrigateShoals	MaroReef	Pearl_Hermes	Kure	PioneerBanks	Maui	Molokai	BigIsland	Kauai
Oahu		0.000456335	0.000510223	0.000472993	0.000349396	0.00038708	0.000370745	0.000456182	0.000380516	0.000346872
FrenchFrigateShoals			0.000518324	0.000547407	0.000457115	0.000525009	0.000419735	0.000529484	0.000434246	0.000431571
MaroReef				0.000657111	0.000481799	0.000697919	0.00041554	0.000567439	0.00047903	0.000448392
Pearl_Hermes					0.000480944	0.000642153	0.000451679	0.000559513	0.000439503	0.000410314
Kure						0.000411595	0.000356088	0.00046044	0.000387442	0.000334213
PioneerBanks							0.000354594	0.000494896	0.000365703	0.000334157
Maui								0.000450525	0.000358812	0.000355921
Molokai									0.000453631	0.000453661
BigIsland										0.000382363
