# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Oahu	23	9.13378	0.66661	0.04722	0.98777	0.00190	0.00252	0.02220	0.00721	0.00491	0.97780	0.00721	0.00491	0.02036	0.00342	0.00338	0.97964	0.00342	0.00338	0.02156	0.00384	0.00358	0.00453	0.01388	0.04722
FrenchFrigateShoals	27	7.82943	0.51108	0.04134	0.98433	0.00281	0.00307	0.02632	0.00777	0.00510	0.97368	0.00777	0.00510	0.02524	0.00543	0.00426	0.97476	0.00543	0.00426	0.02696	0.00620	0.00455	0.00064	0.00939	0.04134
MaroReef	8	4.75920	0.18343	0.02477	0.98662	0.00308	0.00321	0.02140	0.00884	0.00544	0.97860	0.00884	0.00544	0.02025	0.00565	0.00435	0.97975	0.00565	0.00435	0.02259	0.00702	0.00485	0.00342	0.01089	0.02477
Pearl_Hermes	14	3.30435	0.21243	0.02665	0.98551	0.00312	0.00323	0.02899	0.01249	0.00646	0.97101	0.01249	0.00646	0.02234	0.00595	0.00446	0.97766	0.00595	0.00446	0.02631	0.00834	0.00528	-0.00446	0.00296	0.02665
Kure	28	9.77926	0.26655	0.02986	0.98852	0.00212	0.00266	0.02296	0.00849	0.00533	0.97704	0.00849	0.00533	0.01846	0.00324	0.00329	0.98154	0.00324	0.00329	0.01950	0.00362	0.00348	-0.00713	0.00544	0.02986
PioneerBanks	4	3.00000	0.00000	0.00000	0.99164	0.00245	0.00286	0.01672	0.00979	0.00572	0.98328	0.00979	0.00572	0.01171	0.00387	0.00360	0.98829	0.00387	0.00360	0.01405	0.00557	0.00432	-0.00446	0.00296	0.00000
Maui	25	8.36120	0.30534	0.03196	0.98669	0.00195	0.00255	0.02440	0.00709	0.00487	0.97560	0.00709	0.00487	0.02238	0.00378	0.00356	0.97762	0.00378	0.00356	0.02378	0.00427	0.00378	0.00146	0.00989	0.03196
Molokai	24	9.29097	0.54928	0.04286	0.98271	0.00315	0.00325	0.02774	0.00840	0.00530	0.97226	0.00840	0.00530	0.02770	0.00583	0.00442	0.97230	0.00583	0.00442	0.02927	0.00651	0.00467	0.00560	0.01708	0.04286
BigIsland	42	16.09030	1.16296	0.06237	0.98441	0.00245	0.00286	0.02560	0.00593	0.00445	0.97440	0.00593	0.00445	0.02580	0.00400	0.00366	0.97420	0.00400	0.00366	0.02664	0.00428	0.00378	0.00661	0.01395	0.06237
Kauai	31	13.89298	0.86099	0.05366	0.98805	0.00173	0.00241	0.02291	0.00677	0.00476	0.97709	0.00677	0.00476	0.02016	0.00278	0.00305	0.97984	0.00278	0.00305	0.02093	0.00300	0.00317	-0.00090	0.00917	0.05366
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Oahu	23	49262	299	46	0.09338	9.23182	0.59756	0.00348	0.99993	0.00001	0.00002	0.00013	0.00005	0.00003	0.99987	0.00005	0.00003	0.00012	0.00002	0.00002	0.99988	0.00002	0.00002	0.00013	0.00003	0.00002	0.00003	0.00008	0.00348
FrenchFrigateShoals	27	49262	299	45	0.09135	7.91653	0.57654	0.00342	0.99990	0.00002	0.00002	0.00016	0.00005	0.00003	0.99984	0.00005	0.00003	0.00015	0.00004	0.00003	0.99985	0.00004	0.00003	0.00016	0.00004	0.00003	0.00000	0.00006	0.00342
MaroReef	8	49262	299	24	0.04872	4.84247	0.13271	0.00164	0.99992	0.00002	0.00002	0.00013	0.00006	0.00003	0.99987	0.00006	0.00003	0.00012	0.00004	0.00003	0.99988	0.00004	0.00003	0.00014	0.00005	0.00003	0.00002	0.00007	0.00164
Pearl_Hermes	14	49262	299	25	0.05075	3.36302	0.23124	0.00217	0.99991	0.00002	0.00002	0.00018	0.00008	0.00004	0.99982	0.00008	0.00004	0.00014	0.00004	0.00003	0.99986	0.00004	0.00003	0.00016	0.00005	0.00003	-0.00003	0.00002	0.00217
Kure	28	49262	299	43	0.08729	9.76203	0.23936	0.00220	0.99993	0.00001	0.00002	0.00014	0.00005	0.00003	0.99986	0.00005	0.00003	0.00011	0.00002	0.00002	0.99989	0.00002	0.00002	0.00012	0.00002	0.00002	-0.00004	0.00003	0.00220
PioneerBanks	4	49262	299	11	0.02233	3.00000	0.00000	0.00000	0.99995	0.00002	0.00002	0.00010	0.00006	0.00004	0.99990	0.00006	0.00004	0.00007	0.00002	0.00002	0.99993	0.00002	0.00002	0.00009	0.00003	0.00003	-0.00003	0.00002	0.00000
Maui	25	49262	299	48	0.09744	8.43358	0.36252	0.00271	0.99992	0.00001	0.00002	0.00015	0.00005	0.00003	0.99985	0.00005	0.00003	0.00014	0.00003	0.00002	0.99986	0.00003	0.00002	0.00014	0.00003	0.00002	0.00001	0.00006	0.00271
Molokai	24	49262	299	52	0.10556	9.49237	0.44434	0.00300	0.99990	0.00002	0.00002	0.00017	0.00006	0.00003	0.99983	0.00006	0.00003	0.00017	0.00004	0.00003	0.99983	0.00004	0.00003	0.00018	0.00004	0.00003	0.00003	0.00010	0.00300
BigIsland	42	49262	299	83	0.16849	16.15901	1.08361	0.00469	0.99991	0.00002	0.00002	0.00016	0.00004	0.00003	0.99984	0.00004	0.00003	0.00016	0.00003	0.00002	0.99984	0.00003	0.00002	0.00016	0.00003	0.00002	0.00004	0.00008	0.00469
Kauai	31	49262	299	64	0.12992	13.84239	0.70560	0.00378	0.99993	0.00001	0.00002	0.00014	0.00004	0.00003	0.99986	0.00004	0.00003	0.00012	0.00002	0.00002	0.99988	0.00002	0.00002	0.00013	0.00002	0.00002	-0.00001	0.00006	0.00378
