SampleID	IndID	PopID
1	93OAPtu	Oahu
2	92OAPtu	Oahu
3	113OAPtu	Oahu
4	117OAPtu	Oahu
5	123OAPtu	Oahu
6	127OAPtu	Oahu
7	129OAPtu	Oahu
8	132OAPtu	Oahu
9	133OAPtu	Oahu
10	137OAPtu	Oahu
11	149FFSPtu	FFS
12	150FFSPtu	FFS
13	151FFSPtu	FFS
14	152FFSPtu	FFS
15	153FFSPtu	FFS
16	158FFSPtu	FFS
17	159FFSPtu	FFS
18	160FFSPtu	FFS
19	161FFSPtu	FFS
20	164MRPtu	MaroReef
21	165MRPtu	MaroReef
22	169MRPtu	MaroReef
23	172MRPtu	MaroReef
24	175MRPtu	MaroReef
25	178PHPtu	P&H
26	179PHPtu	P&H
27	180PHPtu	P&H
28	181PHPtu	P&H
29	187KURPtu	Kure 
30	188KURPtu	Kure 
31	190KURPtu	Kure 
32	191KURPtu	Kure 
33	192KURPtu	Kure 
34	193KURPtu	Kure 
35	197KURPtu	Kure 
36	198KURPtu	Kure 
37	202KURPtu	Kure 
38	204KURPtu	Kure 
39	210PBPtu	Pbanks
40	211PBPtu	Pbanks
41	214PBPtu	Pbanks
42	78MAPtu	Maui
43	79MAPtu	Maui
44	80MAPtu	Maui
45	85MAPtu	Maui
46	220MAPtu	Maui
47	222MAPtu	Maui
48	228MAPtu	Maui
49	233MAPtu	Maui
50	238MAPtu	Maui
51	246MAPtu	Maui
52	314MOPtu	Molokai
53	317MOPtu	Molokai
54	319MOPtu	Molokai
55	322MOPtu	Molokai
56	326MOPtu	Molokai
57	330MOPtu	Molokai
58	332MOPtu	Molokai
59	348MOPtu	Molokai
60	350MOPtu	Molokai
61	352MOPtu	Molokai
62	393BIPtu	BigIsland
63	397BIPtu	BigIsland
64	398BIPtu	BigIsland
65	399BIPtu	BigIsland
66	405BIPtu	BigIsland
67	408BIPtu	BigIsland
68	412BIPtu	BigIsland
69	413BIPtu	BigIsland
70	414BIPtu	BigIsland
71	415BIPtu	BigIsland
72	420BIPtu	BigIsland
73	421BIPtu	BigIsland
74	422BIPtu	BigIsland
75	423BIPtu	BigIsland
76	424BIPtu	BigIsland
77	428BIPtu	BigIsland
78	429BIPtu	BigIsland
79	445KAPtu	Kauai
80	451KAPtu	Kauai
81	458KAPtu	Kauai
82	460KAPtu	Kauai
83	461KAPtu	Kauai
84	469KAPtu	Kauai
85	471KAPtu	Kauai
86	478KAPtu	Kauai
87	480KAPtu	Kauai
88	481KAPtu	Kauai
89	482KAPtu	Kauai
90	483KAPtu	Kauai
91	485KAPtu	Kauai
92	486KAPtu	Kauai
93	491KAPtu	Kauai
