loci	ind	k	runs	elpdmean	elpdsd	elpdmin	elpdmax	lnk1	lnk1max	lnk1min	lnk2	lnk2max	lnk2min	deltaK
24517	90	1	5	-975809.72	9.43541202069447	-975819.155412021	-975800.284587979	NA	NA	NA	NA	NA	NA	NA
24517	90	2	5	-960631.58	1258.76353498186	-961890.343534982	-959372.816465018	15178.14	16427.4681229612	13928.8118770389	8212.77999999991	15108.2763117097	1317.28368829009	6.52448197914971
24517	90	3	5	-937240.66	9403.58796965284	-946644.247969653	-927837.072030347	23390.9199999999	31535.7444346709	15246.0955653289	21381.8399999999	26173.4789166736	16590.2010833261	2.27379592438579
24517	90	4	5	-935231.58	6050.40245165562	-941281.982451656	-929181.177548344	2009.08000000007	5362.2655179973	-1344.10551799715	5198.64000000013	7395.80533410547	3001.47466589479	0.859222182580199
24517	90	5	5	-938421.14	4894.38226776374	-943315.522267764	-933526.757732236	-3189.56000000006	-2033.53981610817	-4345.58018389194	1443.59999999998	4771.9284754932	-1884.72847549325	0.294950398441102
24517	90	6	5	-943054.3	410.033608378625	-943464.333608379	-942644.266391621	-4633.16000000003	-148.811340614922	-9117.50865938514	3666.26000000001	6963.12196585833	369.398034141692	8.94136462251793
24517	90	7	5	-944021.2	1597.52030190542	-945618.720301906	-942423.679698095	-966.900000000023	220.58669352677	-2154.38669352682	2253.00000000012	3220.51283911428	1285.48716088596	1.41031071549631
24517	90	8	5	-942735.1	1377.54644749278	-944112.646447493	-941357.553552507	1286.10000000009	1506.07385441273	1066.12614558746	34107.9400000002	97451.5675958106	-29235.6875958103	24.7599201189032
24517	90	9	5	-975556.94	64941.1478977159	-1040498.08789772	-910615.792102284	-32821.8400000001	30741.761450223	-96385.4414502232	53320.1200000001	69770.456409089	36869.7835909112	0.821052933711317
24517	90	10	5	-955058.66	17827.8828565817	-972886.542856582	-937230.777143418	20498.28	67611.5450411342	-26614.9850411341	NA	NA	NA	NA
