parameter,2.5%,25%,50%,75%,97.5%,mode,mean,sd
4Nem Oahu to Kure,0.9091408473270213,0.9659650113297373,0.983001579296717,0.992950385668836,0.9993820143281122,1,0.9754302024751372,0.024638967762258546
4Nem Maro to P&H,3.662137314890403e-4,4.2724935340388037e-4,4.577671643613004e-4,4.959144280580754e-4,5.722089554516254e-4,4.501377116219454e-4,4.6399867228965317e-4,5.4690254305474865e-5
4Nem P&H to Maro,6.027267664090454e-4,6.713918410632406e-4,7.171685574993706e-4,7.629452739355006e-4,8.544987068077607e-4,7.095391047600156e-4,7.187233180389575e-4,6.609874899977247e-5
4Nem FFS to Maro,1.9836577122323015e-4,2.2125412944129519e-4,2.365130349200052e-4,2.594013931380702e-4,2.975486568348452e-4,2.365130349200052e-4,2.4141856042719933e-4,2.663187304641583e-5
4Nem Maro to FFS,0.0013504131348658361,0.0015182610951316462,0.0016174439807432612,0.0017242563190942315,0.0019378809957961715,0.0016098145280039062,0.0016270202861884957,1.5110645265978872e-4
4Nem Kauai to FFS,6.485034828451756e-4,7.400569157174356e-4,7.934630848929206e-4,8.468692540684056e-4,9.689404978980858e-4,7.858336321535656e-4,7.968884370493179e-4,8.231841049312924e-5
4Nem FFS to Kauai,8.697576122864707e-4,0.0010376055725522808,0.0011444179109032508,0.001274118607472286,0.0015411494533497112,0.0011215295526851858,0.0011624175397193788,1.7257008723077998e-4
4Nem Oahu to Kauai,0.0014877432841742262,0.0017395152245729415,0.0018692159211419765,0.0020065460704503666,0.0022735769163277917,0.0018615864684026215,0.001874741096418225,2.0086860684103295e-4
4Nem Kauai to Oahu,0.0010833822889884108,0.001228341891036156,0.0013122658711690611,0.0013961898513019661,0.0015716672643071312,0.001297006965690351,0.0013131058074647246,1.2599125089455344e-4
4Nem Molokai to Oahu,9.994583088555058e-4,0.0011673062691213158,0.001258859701993576,0.0013580425876051911,0.0015564083588284212,0.001243600796514866,0.0012637780029165625,1.4290303690386963e-4
4Nem Oahu to Molokai,7.095391047600156e-4,8.239808958503406e-4,8.926459705045357e-4,9.613110451587308e-4,0.0011139000999458308,8.850165177651807e-4,8.973873773375936e-4,1.0344259111804868e-4
4Nem Maui to Molokai,0.0014572254732168062,0.0016479617917006812,0.0017547741300516515,0.0018615864684026215,0.0020828405978439166,0.0017471446773122965,0.0017582102264402477,1.6060270376104578e-4
4Nem Molokai to Maui,4.3487880614323537e-4,5.035438807974304e-4,5.416911444942054e-4,5.798384081909804e-4,6.561329355845306e-4,5.340616917548504e-4,5.402958762422902e-4,5.666501260733945e-5
4Nem Big Is. to Maui,0.001258859701993576,0.0013961898513019661,0.0014724843786955162,0.0015640378115677762,0.0017471446773122965,0.0014572254732168062,0.0014838592601849312,1.2562201561951348e-4
4Nem Maui to Big Is.,0.0011673062691213158,0.0013885603985626111,0.0015182610951316462,0.0016632206971793912,0.0020523227868864966,0.0015182610951316462,0.001538234384672926,2.2197493886141258e-4
