parameter,2.5%,25%,50%,75%,97.5%,mode,mean,sd
4Nem Maro to P&H,4.730260698400104e-4,5.569500499729154e-4,6.103562191484004e-4,6.637623883238856e-4,7.858336321535656e-4,6.027267664090454e-4,6.137234544376053e-4,8.122568306247355e-5
4Nem P&H to Maro,5.416911444942054e-4,6.179856718877555e-4,6.637623883238856e-4,7.019096520206606e-4,7.934630848929206e-4,6.561329355845306e-4,6.624017955182708e-4,6.503677101359407e-5
4Nem FFS to Maro,2.0599522396258515e-4,2.365130349200052e-4,2.517719403987152e-4,2.670308458774252e-4,3.051781095742002e-4,2.441424876593602e-4,2.5080635006870017e-4,2.7113245418413127e-5
4Nem Maro to FFS,0.0011673062691213158,0.0013198953239084161,0.0014038193040413211,0.0014953727369135812,0.0017089974136155215,0.0013885603985626111,0.001411961155466855,1.3891521829342656e-4
4Nem Kauai to FFS,5.188027862761404e-4,5.950973136696904e-4,6.332445773664655e-4,6.790212938025956e-4,7.705747266748556e-4,6.256151246271105e-4,6.35504517292652e-4,6.463976845102256e-5
4Nem FFS to Kauai,0.0012130829855574459,0.0014114487567806761,0.0015258905478710012,0.0016555912444400362,0.0019455104485355266,0.0014801138314348712,0.0015406803615125577,1.87141350350394e-4
4Nem Oahu to Kauai,0.0010986411944671208,0.001289377512950996,0.0013961898513019661,0.0015030021896529362,0.0017700330355303615,0.0014114487567806761,0.001403729616321445,1.7061183770493925e-4
4Nem Kauai to Oahu,9.231637814619558e-4,0.0010604939307703458,0.0011444179109032508,0.001235971343775511,0.0014267076622593862,0.0011291590054245408,0.0011527474320116144,1.2841109315976486e-4
4Nem Molokai to Oahu,8.544987068077607e-4,9.765699506374408e-4,0.0010528644780309908,0.0011291590054245408,0.0013046364184297061,0.0010376055725522808,0.0010578375880988102,1.1669632112523142e-4
4Nem Oahu to Molokai,6.942801992813056e-4,7.858336321535656e-4,8.392398013290506e-4,9.002754232438907e-4,0.0010299761198129258,8.316103485896956e-4,8.472366709745638e-4,8.830137426321327e-5
4Nem Maui to Molokai,0.0010986411944671208,0.001266489154732931,0.0013580425876051911,0.0014572254732168062,0.0016632206971793912,0.0013580425876051911,0.0013635743023482651,1.4615774923473266e-4
4Nem Molokai to Maui,4.2724935340388037e-4,4.806555225793654e-4,5.111733335367854e-4,5.416911444942054e-4,6.103562191484004e-4,5.035438807974304e-4,5.107220335026608e-4,4.870830909329151e-5
4Nem Big Is. to Maui,0.0011139000999458308,0.001243600796514866,0.0013122658711690611,0.0013885603985626111,0.0015640378115677762,0.001297006965690351,0.001318940186134909,1.1452451495916726e-4
4Nem Maui to Big Is.,0.001251230249254221,0.0017624035827910065,0.0021133584088013366,0.0023727598019394067,0.0028000091553432873,0.0022278001998916616,0.002066031040094995,4.2265703107579645e-4
