parameter,2.5%,25%,50%,75%,97.5%,mode,mean,sd
m/mu Maro to P&H,1.2818165171214062,1.3428553988890923,1.4038942806567785,1.4038942806567785,1.4649331624244644,1.4038942806567785,1.3740899967088334,0.06631166721602734
m/mu P&H to Maro,0.9155832265152902,1.0376609900506621,1.0376609900506621,1.0986998718183483,1.2818165171214062,1.0376609900506621,1.0729116631510196,0.09893462141400149
m/mu FFS to Maro,0.24415552707074406,0.24415552707074406,0.24415552707074406,0.24415552707074406,0.3051944088384301,0.24415552707074406,0.24880381665304252,0.04339208559580366
m/mu Maro to FFS,1.5259720441921503,2.0142830983336384,2.0753219801013243,2.0753219801013243,2.1363608618690106,2.0753219801013243,1.9595443388693672,0.25131992661045727
m/mu Kauai to FFS,0.18311664530305805,0.24415552707074406,0.24415552707074406,0.24415552707074406,0.3051944088384301,0.24415552707074406,0.253303482319399,0.0595667842211375
m/mu FFS to Kauai,0.18311664530305805,0.24415552707074406,0.24415552707074406,0.24415552707074406,0.3051944088384301,0.24415552707074406,0.24414169290807797,0.053179485420085354
m/mu Oahu to Kauai,0.12207776353537203,0.12207776353537203,0.18311664530305805,0.24415552707074406,0.3051944088384301,0.18311664530305805,0.1819300842434892,0.06342260253415488
m/mu Kauai to Oahu,0.18311664530305805,0.18311664530305805,0.18311664530305805,0.24415552707074406,0.3051944088384301,0.18311664530305805,0.2117484350130824,0.058229953189275166
m/mu Molokai to Oahu,0.12207776353537203,0.18311664530305805,0.18311664530305805,0.18311664530305805,0.24415552707074406,0.18311664530305805,0.18639272378320915,0.04486129241889559
m/mu Oahu to Molokai,0.3051944088384301,0.3662332906061161,0.3662332906061161,0.3662332906061161,0.4272721723738021,0.3662332906061161,0.36395446576199686,0.053951636652721215
m/mu Maui to Molokai,1.0376609900506621,1.1597387535860344,1.2207776353537203,1.2818165171214062,1.3428553988890923,1.1597387535860344,1.2009779059890535,0.11020201535365108
m/mu Molokai to Maui,0.18311664530305805,0.18311664530305805,0.24415552707074406,0.24415552707074406,0.24415552707074406,0.24415552707074406,0.22212428919895988,0.04350213386445841
m/mu Big Is. to Maui,1.0376609900506621,1.0986998718183483,1.1597387535860344,1.1597387535860344,1.1597387535860344,1.1597387535860344,1.131049748522914,0.05481831483706665
m/mu Maui to Big Is.,0.9155832265152902,0.9766221082829762,0.9766221082829762,1.0376609900506621,1.0376609900506621,0.9766221082829762,0.9924031164135437,0.046060333912872654
