parameter,2.5%,25%,50%,75%,97.5%,mode,mean,sd
4Nem Oahu to Kure,0.5249343832020997,0.6103888176768602,0.659219923091009,0.7141549166819263,0.8179210156869926,0.6531160349142404,0.6635595053825131,0.07627168198311317
4Nem Maro to P&H,0.2990905206616615,0.3479216260758103,0.3723371787828847,0.3967527314899591,0.4455838369041079,0.3662332906061161,0.370735465970951,0.037892959233778056
4Nem P&H to Maro,0.3357138497222731,0.3845449551364219,0.4150643960202649,0.4455838369041079,0.5188304950253311,0.4089605078434963,0.41832741089485237,0.04748525608631453
4Nem FFS to Maro,0.26246719160104987,0.3112982970151987,0.3357138497222731,0.3601294024293475,0.4150643960202649,0.3357138497222731,0.3374193222846012,0.039972710057019856
4Nem Maro to FFS,0.5920771531465543,0.6714276994445462,0.7141549166819263,0.7629860220960751,0.8606482329243728,0.7080510285051578,0.7164402404334473,0.06932807446084131
4Nem Kauai to FFS,0.3845449551364219,0.4455838369041079,0.4822071659647195,0.5188304950253311,0.598181041323323,0.4761032777879509,0.4844685330003918,0.05660931185664714
4Nem FFS to Kauai,0.811817127510224,0.9216871146920589,0.9766221082829762,1.043764878227431,1.165842641762803,0.9766221082829762,0.9810860793017206,0.09133872297492865
4Nem Oahu to Kauai,0.5432460477324055,0.628700482207166,0.6775315876213148,0.7263626930354636,0.8301287920405298,0.6775315876213148,0.6803033710635835,0.07342044899350751
4Nem Kure to Oahu,0.2990905206616615,0.3601294024293475,0.3906488433131905,0.4211682841970335,0.4883110541414881,0.3906488433131905,0.39048027413287106,0.048534622993671256
4Nem Kauai to Oahu,0.5737654886162485,0.6531160349142404,0.7019471403283892,0.750778245742538,0.8545443447476042,0.6958432521516206,0.7034862712517952,0.07342139873094919
4Nem Molokai to Oahu,0.3662332906061161,0.4333760605505707,0.4638955014344137,0.5005188304950253,0.5737654886162485,0.4638955014344137,0.4678968076799666,0.053956064421764774
4Nem Oahu to Molokai,0.5798693767930172,0.6653238112677775,0.7141549166819263,0.7629860220960751,0.8667521211011414,0.7080510285051578,0.7168910735925738,0.07319365375698358
4Nem Maui to Molokai,0.3235060733687359,0.3845449551364219,0.4150643960202649,0.4516877250808765,0.5310382713788684,0.4089605078434963,0.4192428603304823,0.054298125978816524
4Nem Molokai to Maui,0.5920771531465543,0.6775315876213148,0.7263626930354636,0.7751937984496124,0.8789598974546786,0.720258804858695,0.7284908162667844,0.07517062315601226
4Nem Big Is. to Maui,0.28077885613135567,0.3357138497222731,0.3662332906061161,0.4028566196667277,0.4699993896111823,0.3662332906061161,0.3706608738691378,0.048918604171865436
4Nem Maui to Big Is.,0.7751937984496124,0.8972715619849845,0.964414331929439,1.0376609900506621,1.17805041811634,0.964414331929439,0.9693322940505672,0.10342845267760437
