parameter,2.5%,25%,50%,75%,97.5%,mode,mean,sd
m/mu Holaniku to O'ahu,232.85622730185855,253.3036286507767,264.59547715689564,276.1925107577746,299.3865779595324,263.9851069673757,264.98780636761745,17.00237989183633
m/mu Manawai to Kamokuokamohoali'i,461.13467818231754,477.614673299356,484.6339304788354,490.1272621845149,495.9257789849544,488.60133671071503,483.10518012286116,9.388710119807106
m/mu Kamokuokamohoali'i to Manawai,469.67986083559674,501.7242957853938,519.7302163762322,538.3465071565904,573.1376079592272,518.8146610919522,520.2562004383708,26.70491736888197
m/mu Kamokuokamohoali'i to Lalo,517.2887356181524,548.4176152836695,564.592425305948,580.7672353282265,611.8961149937437,564.592425305948,564.6501321477161,24.096728881379445
m/mu Lalo to Kamokuokamohoali'i,367.7480391857662,393.6887722403638,408.3376567888424,424.20728171636097,455.64134647663803,406.5065462202826,409.3056528467031,22.525908068013887
m/mu Lalo to Kaua'i,440.3820917386395,468.1539353617969,483.71837519455545,500.198370311594,532.853175450911,482.19244972075563,484.4964637370482,23.683404562948215
m/mu Kaua'i to Lalo,307.6265755180517,329.90508743552965,341.80730613116856,354.3198950163274,378.73470259712514,341.1969359416486,342.27187252451546,18.242487380392628
m/mu O'ahu to Holaniku,490.43244727927487,515.1524399548326,531.6324350718711,550.2487258522293,591.7538987395856,527.0546586504715,534.1029718628137,26.101801792840075
m/mu Kaua'i to O'ahu,466.0176396984771,499.588000122074,517.2887356181524,534.6842860194707,567.0339060640279,518.2042909024323,517.0240354355985,25.9364542489033
m/mu O'ahu to Kaua'i,288.0947294534135,314.0354625080111,327.76879177220985,341.50212103640854,367.44285409100615,327.76879177220985,327.72331675413324,20.31926129397192
m/mu O'ahu to Moloka'i,495.3154087954344,526.1391033661915,543.22946867275,560.9302041688284,596.3316751609851,542.0087282937101,543.9325952114964,25.844008733363236
m/mu Moloka'i to O'ahu,286.8739890743736,310.0680562761315,322.5806451612903,335.3984191412091,361.03396710104676,321.9702749717704,322.88265088232396,18.936922170217414
m/mu Moloka'i to Maui,464.49171422467725,498.0620746482742,516.9835505233924,537.1257667775506,577.7153843806268,514.8472548600727,518.1808703353526,29.004413710330372
m/mu Maui to Moloka'i,260.32288583025604,281.6858424634541,293.588061159093,306.10065004425184,330.82064271980954,292.3673207800531,294.1603494353529,17.970801038719998
m/mu Maui to Hawai'i,478.53022858363596,499.588000122074,513.3213293862727,527.9702139347514,558.4887234107485,510.879848628193,514.5805441729343,20.702888712276025
m/mu Hawai'i to Maui,213.93475142674032,236.21326334421826,248.7258522293771,261.8488113040559,286.8739890743736,248.11548203985717,249.25125059892432,18.75521529734375
