# Population Oahu	113OAPtu,117OAPtu,123OAPtu,127OAPtu,129OAPtu,132OAPtu,133OAPtu,137OAPtu,92OAPtu,93OAPtu
# Population BigIsland	393BIPtu,397BIPtu,398BIPtu,399BIPtu,405BIPtu,408BIPtu,412BIPtu,413BIPtu,414BIPtu,415BIPtu,420BIPtu,421BIPtu,422BIPtu,423BIPtu,424BIPtu,428BIPtu,429BIPtu
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
327	Oahu	BigIsland	un	1	-0.01566	-1.00000	-1.00000	-0.00062	-1.00000	-1.00000	0.00389	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
878	Oahu	BigIsland	un	622	-0.03978	-1.00000	-1.00000	-0.03628	-1.00000	-1.00000	-0.03497	-1.00000	-1.00000	0.00121	-1.00000	-1.00000
1180	Oahu	BigIsland	un	1442	-0.01681	-1.00000	-1.00000	-0.00034	-1.00000	-1.00000	0.00095	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
1201	Oahu	BigIsland	un	1938	-0.04712	-1.00000	-1.00000	-0.04913	-1.00000	-1.00000	-0.04803	-1.00000	-1.00000	0.00138	-1.00000	-1.00000
1257	Oahu	BigIsland	un	2322	0.09886	-1.00000	-1.00000	0.10959	-1.00000	-1.00000	0.17537	-1.00000	-1.00000	0.00196	-1.00000	-1.00000
1558	Oahu	BigIsland	un	3228	0.02559	-1.00000	-1.00000	0.00610	-1.00000	-1.00000	0.00366	-1.00000	-1.00000	0.00025	-1.00000	-1.00000
1875	Oahu	BigIsland	un	3674	-0.02062	-1.00000	-1.00000	-0.00081	-1.00000	-1.00000	0.00265	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
2388	Oahu	BigIsland	un	4415	-0.02179	-1.00000	-1.00000	-0.00102	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00011	-1.00000	-1.00000
2717	Oahu	BigIsland	un	5098	-0.00167	-1.00000	-1.00000	-0.00248	-1.00000	-1.00000	-0.00230	-1.00000	-1.00000	0.00025	-1.00000	-1.00000
3586	Oahu	BigIsland	un	5531	-0.04492	-1.00000	-1.00000	-0.00571	-1.00000	-1.00000	-0.00321	-1.00000	-1.00000	0.00068	-1.00000	-1.00000
