# Population Oahu	113OAPtu,117OAPtu,123OAPtu,127OAPtu,129OAPtu,132OAPtu,133OAPtu,137OAPtu,92OAPtu,93OAPtu
# Population FrenchFrigateShoals	149FFSPtu,150FFSPtu,151FFSPtu,152FFSPtu,153FFSPtu,158FFSPtu,159FFSPtu,160FFSPtu,161FFSPtu
# Population MaroReef	164MRPtu,165MRPtu,169MRPtu,172MRPtu,175MRPtu
# Population Pearl_Hermes	178PHPtu,179PHPtu,180PHPtu,181PHPtu
# Population Kure	187KURPtu,188KURPtu,190KURPtu,191KURPtu,192KURPtu,193KURPtu,197KURPtu,198KURPtu,202KURPtu,204KURPtu
# Population PioneerBanks	210PBPtu,211PBPtu,214PBPtu
# Population Maui	220MAPtu,222MAPtu,228MAPtu,233MAPtu,238MAPtu,246MAPtu,78MAPtu,79MAPtu,80MAPtu,85MAPtu
# Population Molokai	314MOPtu,317MOPtu,319MOPtu,322MOPtu,326MOPtu,330MOPtu,332MOPtu,348MOPtu,350MOPtu,352MOPtu
# Population BigIsland	393BIPtu,397BIPtu,398BIPtu,399BIPtu,405BIPtu,408BIPtu,412BIPtu,413BIPtu,414BIPtu,415BIPtu,420BIPtu,421BIPtu,422BIPtu,423BIPtu,424BIPtu,428BIPtu,429BIPtu
# Population Kauai	445KAPtu,451KAPtu,458KAPtu,460KAPtu,461KAPtu,469KAPtu,471KAPtu,478KAPtu,480KAPtu,481KAPtu,482KAPtu,483KAPtu,485KAPtu,486KAPtu,491KAPtu
# Group defaultgrp	Oahu,FrenchFrigateShoals,MaroReef,Pearl_Hermes,Kure,PioneerBanks,Maui,Molokai,BigIsland,Kauai
# Locus ID	Chr	BP	phi_st	Smoothed Phi_st	Fst'	Smoothed Fst'	D_est	Smoothed D_est
327	un	1	-0.02196	-1.00000	-0.00103	-1.00000	0.00122	-1.00000
878	un	622	-0.04789	-1.00000	-0.04741	-1.00000	-0.05414	-1.00000
1180	un	1442	-0.01481	-1.00000	0.00030	-1.00000	0.00165	-1.00000
1201	un	1938	-0.06039	-1.00000	-0.06391	-1.00000	-0.09035	-1.00000
1257	un	2322	0.18799	-1.00000	0.10794	-1.00000	0.12882	-1.00000
1334	un	2834	0.00104	-1.00000	0.00070	-1.00000	0.00461	-1.00000
1558	un	3228	0.00118	-1.00000	0.00045	-1.00000	0.00049	-1.00000
1875	un	3674	-0.02427	-1.00000	-0.00059	-1.00000	0.00082	-1.00000
2388	un	4415	-0.02094	-1.00000	-0.00060	-1.00000	-0.00004	-1.00000
2583	un	4728	0.08093	-1.00000	0.00094	-1.00000	0.00000	-1.00000
2717	un	5098	-0.00663	-1.00000	-0.00089	-1.00000	-0.00025	-1.00000
3586	un	5531	0.00686	-1.00000	0.00009	-1.00000	0.00851	-1.00000
4304	un	6242	0.00183	-1.00000	0.00090	-1.00000	0.00085	-1.00000
4434	un	6715	-0.00655	-1.00000	-0.00008	-1.00000	0.00000	-1.00000
4438	un	7143	-0.01288	-1.00000	-0.00214	-1.00000	0.00254	-1.00000
4442	un	7562	0.03442	-1.00000	0.00075	-1.00000	-0.00014	-1.00000
5059	un	8352	-0.00231	-1.00000	-0.00003	-1.00000	0.00000	-1.00000
8862	un	8689	-0.00704	-1.00000	-0.00015	-1.00000	-0.00034	-1.00000
9578	un	9006	-0.00075	-1.00000	-0.00001	-1.00000	0.00000	-1.00000
9984	un	9339	0.01509	-1.00000	0.00030	-1.00000	-0.00026	-1.00000
