# Population Oahu	113OAPtu,117OAPtu,123OAPtu,127OAPtu,129OAPtu,132OAPtu,133OAPtu,137OAPtu,92OAPtu,93OAPtu
# Population Molokai	314MOPtu,317MOPtu,319MOPtu,322MOPtu,326MOPtu,330MOPtu,332MOPtu,348MOPtu,350MOPtu,352MOPtu
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
878	Oahu	Molokai	un	622	-0.04215	-1.00000	-1.00000	-0.03785	-1.00000	-1.00000	-0.03724	-1.00000	-1.00000	0.00110	-1.00000	-1.00000
1201	Oahu	Molokai	un	1938	-0.06273	-1.00000	-1.00000	-0.06691	-1.00000	-1.00000	-0.05773	-1.00000	-1.00000	0.00143	-1.00000	-1.00000
1257	Oahu	Molokai	un	2322	0.27977	-1.00000	-1.00000	0.28220	-1.00000	-1.00000	0.25652	-1.00000	-1.00000	0.00208	-1.00000	-1.00000
1558	Oahu	Molokai	un	3228	-0.00679	-1.00000	-1.00000	0.00280	-1.00000	-1.00000	0.00366	-1.00000	-1.00000	0.00025	-1.00000	-1.00000
2388	Oahu	Molokai	un	4415	-0.01165	-1.00000	-1.00000	-0.00068	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
2717	Oahu	Molokai	un	5098	-0.00544	-1.00000	-1.00000	-0.00030	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
3586	Oahu	Molokai	un	5531	0.00535	-1.00000	-1.00000	0.00137	-1.00000	-1.00000	0.01999	-1.00000	-1.00000	0.00117	-1.00000	-1.00000
4434	Oahu	Molokai	un	6715	0.00601	-1.00000	-1.00000	0.00034	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
4438	Oahu	Molokai	un	7143	0.00000	-1.00000	-1.00000	-0.00446	-1.00000	-1.00000	-0.00446	-1.00000	-1.00000	0.00045	-1.00000	-1.00000
4442	Oahu	Molokai	un	7562	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00026	-1.00000	-1.00000
10061	Oahu	Molokai	un	9686	-0.00544	-1.00000	-1.00000	-0.00030	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
11074	Oahu	Molokai	un	10569	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
11315	Oahu	Molokai	un	11037	0.00601	-1.00000	-1.00000	0.00034	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00011	-1.00000	-1.00000
12728	Oahu	Molokai	un	12389	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
13246	Oahu	Molokai	un	13007	-0.00544	-1.00000	-1.00000	-0.00030	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
13955	Oahu	Molokai	un	13394	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.01223	-1.00000	-1.00000	0.00070	-1.00000	-1.00000
14706	Oahu	Molokai	un	15819	-0.00544	-1.00000	-1.00000	-0.00030	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
14943	Oahu	Molokai	un	16794	-0.00544	-1.00000	-1.00000	-0.00030	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00010	-1.00000	-1.00000
15879	Oahu	Molokai	un	17272	-0.06227	-1.00000	-1.00000	-0.00782	-1.00000	-1.00000	-0.00247	-1.00000	-1.00000	0.00059	-1.00000	-1.00000
17180	Oahu	Molokai	un	18022	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00007	-1.00000	-1.00000
18719	Oahu	Molokai	un	19164	0.03070	-1.00000	-1.00000	0.01416	-1.00000	-1.00000	0.00147	-1.00000	-1.00000	0.00057	-1.00000	-1.00000
19853	Oahu	Molokai	un	20328	0.01437	-1.00000	-1.00000	0.00086	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
21436	Oahu	Molokai	un	21423	0.00042	-1.00000	-1.00000	-0.00388	-1.00000	-1.00000	0.00309	-1.00000	-1.00000	0.00165	-1.00000	-1.00000
23288	Oahu	Molokai	un	22019	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00015	-1.00000	-1.00000
24817	Oahu	Molokai	un	22347	0.11844	-1.00000	-1.00000	0.02557	-1.00000	-1.00000	0.01749	-1.00000	-1.00000	0.00105	-1.00000	-1.00000
25264	Oahu	Molokai	un	22661	0.00601	-1.00000	-1.00000	0.00034	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
25318	Oahu	Molokai	un	23339	-0.06227	-1.00000	-1.00000	-0.00782	-1.00000	-1.00000	-0.00787	-1.00000	-1.00000	0.00066	-1.00000	-1.00000
25398	Oahu	Molokai	un	23677	0.00277	-1.00000	-1.00000	-0.00873	-1.00000	-1.00000	-0.00873	-1.00000	-1.00000	0.00062	-1.00000	-1.00000
25605	Oahu	Molokai	un	24139	0.00601	-1.00000	-1.00000	0.00034	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
25623	Oahu	Molokai	un	24464	0.08824	-1.00000	-1.00000	0.03644	-1.00000	-1.00000	0.03644	-1.00000	-1.00000	0.00046	-1.00000	-1.00000
26429	Oahu	Molokai	un	25269	0.00601	-1.00000	-1.00000	0.00034	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00011	-1.00000	-1.00000
26712	Oahu	Molokai	un	26475	0.01437	-1.00000	-1.00000	0.00086	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00018	-1.00000	-1.00000
27012	Oahu	Molokai	un	27160	0.02059	-1.00000	-1.00000	0.01017	-1.00000	-1.00000	0.01223	-1.00000	-1.00000	0.00041	-1.00000	-1.00000
27287	Oahu	Molokai	un	27529	0.00401	-1.00000	-1.00000	-0.00388	-1.00000	-1.00000	0.00482	-1.00000	-1.00000	0.00120	-1.00000	-1.00000
27423	Oahu	Molokai	un	27802	0.01437	-1.00000	-1.00000	0.00086	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
30368	Oahu	Molokai	un	28546	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00034	-1.00000	-1.00000	0.00061	-1.00000	-1.00000
32562	Oahu	Molokai	un	29426	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
33831	Oahu	Molokai	un	30278	-0.01529	-1.00000	-1.00000	-0.01612	-1.00000	-1.00000	0.01122	-1.00000	-1.00000	0.00102	-1.00000	-1.00000
34090	Oahu	Molokai	un	30857	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00034	-1.00000	-1.00000	0.00052	-1.00000	-1.00000
