# Population MaroReef	164MRPtu,165MRPtu,169MRPtu,172MRPtu,175MRPtu
# Population Maui	220MAPtu,222MAPtu,228MAPtu,233MAPtu,238MAPtu,246MAPtu,78MAPtu,79MAPtu,80MAPtu,85MAPtu
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
327	MaroReef	Maui	un	1	-0.03967	-1.00000	-1.00000	-0.00273	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
878	MaroReef	Maui	un	622	-0.07759	-1.00000	-1.00000	-0.08333	-1.00000	-1.00000	-0.08511	-1.00000	-1.00000	0.00119	-1.00000	-1.00000
1201	MaroReef	Maui	un	1938	-0.08529	-1.00000	-1.00000	-0.08812	-1.00000	-1.00000	-0.08850	-1.00000	-1.00000	0.00127	-1.00000	-1.00000
1257	MaroReef	Maui	un	2322	0.00061	-1.00000	-1.00000	0.05440	-1.00000	-1.00000	0.04866	-1.00000	-1.00000	0.00109	-1.00000	-1.00000
1875	MaroReef	Maui	un	3674	-0.03226	-1.00000	-1.00000	-0.00261	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
2717	MaroReef	Maui	un	5098	-0.05381	-1.00000	-1.00000	-0.00427	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
3586	MaroReef	Maui	un	5531	-0.03659	-1.00000	-1.00000	-0.00272	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
4438	MaroReef	Maui	un	7143	-0.05033	-1.00000	-1.00000	-0.00438	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00015	-1.00000	-1.00000
4442	MaroReef	Maui	un	7562	0.09312	-1.00000	-1.00000	0.00925	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00065	-1.00000	-1.00000
8862	MaroReef	Maui	un	8689	0.09312	-1.00000	-1.00000	0.00925	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00040	-1.00000	-1.00000
11008	MaroReef	Maui	un	10097	-0.03226	-1.00000	-1.00000	-0.00261	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
11315	MaroReef	Maui	un	11037	-0.03226	-1.00000	-1.00000	-0.00261	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
12220	MaroReef	Maui	un	12052	-0.03659	-1.00000	-1.00000	-0.00272	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
14455	MaroReef	Maui	un	14620	-0.03226	-1.00000	-1.00000	-0.00261	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
14522	MaroReef	Maui	un	15437	-0.03226	-1.00000	-1.00000	-0.00261	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
14706	MaroReef	Maui	un	15819	-0.03226	-1.00000	-1.00000	-0.00261	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
15879	MaroReef	Maui	un	17272	-0.05033	-1.00000	-1.00000	-0.00438	-1.00000	-1.00000	0.01280	-1.00000	-1.00000	0.00132	-1.00000	-1.00000
17180	MaroReef	Maui	un	18022	-0.03226	-1.00000	-1.00000	-0.00261	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00009	-1.00000	-1.00000
18283	MaroReef	Maui	un	18751	0.00809	-1.00000	-1.00000	0.00226	-1.00000	-1.00000	-0.00366	-1.00000	-1.00000	0.00058	-1.00000	-1.00000
18719	MaroReef	Maui	un	19164	0.20459	-1.00000	-1.00000	0.13089	-1.00000	-1.00000	0.11475	-1.00000	-1.00000	0.00108	-1.00000	-1.00000
21436	MaroReef	Maui	un	21423	-0.08509	-1.00000	-1.00000	-0.02213	-1.00000	-1.00000	-0.02128	-1.00000	-1.00000	0.00060	-1.00000	-1.00000
23288	MaroReef	Maui	un	22019	0.02419	-1.00000	-1.00000	-0.00457	-1.00000	-1.00000	-0.00962	-1.00000	-1.00000	0.00057	-1.00000	-1.00000
24817	MaroReef	Maui	un	22347	-0.05381	-1.00000	-1.00000	-0.00427	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00018	-1.00000	-1.00000
25264	MaroReef	Maui	un	22661	-0.03226	-1.00000	-1.00000	-0.00261	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00009	-1.00000	-1.00000
25318	MaroReef	Maui	un	23339	0.00948	-1.00000	-1.00000	-0.00570	-1.00000	-1.00000	-0.00746	-1.00000	-1.00000	0.00048	-1.00000	-1.00000
25398	MaroReef	Maui	un	23677	0.00000	-1.00000	-1.00000	-0.01483	-1.00000	-1.00000	0.01782	-1.00000	-1.00000	0.00092	-1.00000	-1.00000
26422	MaroReef	Maui	un	24953	-0.05381	-1.00000	-1.00000	-0.00427	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00018	-1.00000	-1.00000
26556	MaroReef	Maui	un	25774	-0.03226	-1.00000	-1.00000	-0.00261	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
26579	MaroReef	Maui	un	26211	0.04950	-1.00000	-1.00000	0.00432	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00038	-1.00000	-1.00000
27012	MaroReef	Maui	un	27160	0.17949	-1.00000	-1.00000	0.03518	-1.00000	-1.00000	0.02703	-1.00000	-1.00000	0.00054	-1.00000	-1.00000
27423	MaroReef	Maui	un	27802	0.04950	-1.00000	-1.00000	0.00432	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00021	-1.00000	-1.00000
31865	MaroReef	Maui	un	28955	0.01235	-1.00000	-1.00000	0.00192	-1.00000	-1.00000	0.00730	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
33047	MaroReef	Maui	un	29805	-0.03226	-1.00000	-1.00000	-0.00261	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
33831	MaroReef	Maui	un	30278	0.04561	-1.00000	-1.00000	0.04261	-1.00000	-1.00000	0.04112	-1.00000	-1.00000	0.00163	-1.00000	-1.00000
34090	MaroReef	Maui	un	30857	-0.03659	-1.00000	-1.00000	-0.00272	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00037	-1.00000	-1.00000
34388	MaroReef	Maui	un	31159	0.04950	-1.00000	-1.00000	0.00432	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
35833	MaroReef	Maui	un	34864	-0.01117	-1.00000	-1.00000	-0.01271	-1.00000	-1.00000	0.00749	-1.00000	-1.00000	0.00109	-1.00000	-1.00000
38520	MaroReef	Maui	un	35768	0.04950	-1.00000	-1.00000	0.00432	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00025	-1.00000	-1.00000
41423	MaroReef	Maui	un	37674	0.04950	-1.00000	-1.00000	0.00432	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00025	-1.00000	-1.00000
41848	MaroReef	Maui	un	38069	-0.05033	-1.00000	-1.00000	-0.00438	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
43331	MaroReef	Maui	un	38445	0.04950	-1.00000	-1.00000	0.00432	-1.00000	-1.00000	-0.00575	-1.00000	-1.00000	0.00040	-1.00000	-1.00000
43460	MaroReef	Maui	un	38969	0.04950	-1.00000	-1.00000	0.00432	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
44615	MaroReef	Maui	un	40046	-0.03659	-1.00000	-1.00000	-0.00193	-1.00000	-1.00000	0.00366	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
47664	MaroReef	Maui	un	44474	-0.05033	-1.00000	-1.00000	-0.00438	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
49386	MaroReef	Maui	un	44798	-0.03659	-1.00000	-1.00000	-0.00193	-1.00000	-1.00000	0.00366	-1.00000	-1.00000	0.00025	-1.00000	-1.00000
