# Population Oahu	113OAPtu,117OAPtu,123OAPtu,127OAPtu,129OAPtu,132OAPtu,133OAPtu,137OAPtu,92OAPtu,93OAPtu
# Population Kure	187KURPtu,188KURPtu,190KURPtu,191KURPtu,192KURPtu,193KURPtu,197KURPtu,198KURPtu,202KURPtu,204KURPtu
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
878	Oahu	Kure	un	622	-0.03458	-1.00000	-1.00000	-0.03577	-1.00000	-1.00000	-0.03592	-1.00000	-1.00000	0.00119	-1.00000	-1.00000
1201	Oahu	Kure	un	1938	-0.05960	-1.00000	-1.00000	-0.06333	-1.00000	-1.00000	-0.06343	-1.00000	-1.00000	0.00130	-1.00000	-1.00000
1257	Oahu	Kure	un	2322	0.06736	-1.00000	-1.00000	0.00796	-1.00000	-1.00000	0.02564	-1.00000	-1.00000	0.00059	-1.00000	-1.00000
1334	Oahu	Kure	un	2834	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
1558	Oahu	Kure	un	3228	-0.00679	-1.00000	-1.00000	0.00280	-1.00000	-1.00000	0.00366	-1.00000	-1.00000	0.00025	-1.00000	-1.00000
2717	Oahu	Kure	un	5098	-0.00000	-1.00000	-1.00000	0.00049	-1.00000	-1.00000	0.00049	-1.00000	-1.00000	0.00046	-1.00000	-1.00000
3586	Oahu	Kure	un	5531	0.00601	-1.00000	-1.00000	0.00034	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
4438	Oahu	Kure	un	7143	0.00758	-1.00000	-1.00000	0.00048	-1.00000	-1.00000	-0.00117	-1.00000	-1.00000	0.00039	-1.00000	-1.00000
4442	Oahu	Kure	un	7562	-0.01165	-1.00000	-1.00000	-0.00068	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00026	-1.00000	-1.00000
9984	Oahu	Kure	un	9339	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
11315	Oahu	Kure	un	11037	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00010	-1.00000	-1.00000
12728	Oahu	Kure	un	12389	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
14455	Oahu	Kure	un	14620	0.00601	-1.00000	-1.00000	0.00034	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
14706	Oahu	Kure	un	15819	-0.00544	-1.00000	-1.00000	-0.00030	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
14943	Oahu	Kure	un	16794	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00010	-1.00000	-1.00000
15879	Oahu	Kure	un	17272	0.00601	-1.00000	-1.00000	0.00034	-1.00000	-1.00000	0.01223	-1.00000	-1.00000	0.00043	-1.00000	-1.00000
