# Population Oahu	113OAPtu,117OAPtu,123OAPtu,127OAPtu,129OAPtu,132OAPtu,133OAPtu,137OAPtu,92OAPtu,93OAPtu
# Population MaroReef	164MRPtu,165MRPtu,169MRPtu,172MRPtu,175MRPtu
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
878	Oahu	MaroReef	un	622	-0.05912	-1.00000	-1.00000	-0.06181	-1.00000	-1.00000	-0.06476	-1.00000	-1.00000	0.00119	-1.00000	-1.00000
1201	Oahu	MaroReef	un	1938	-0.06667	-1.00000	-1.00000	-0.07143	-1.00000	-1.00000	-0.07143	-1.00000	-1.00000	0.00130	-1.00000	-1.00000
1257	Oahu	MaroReef	un	2322	0.11609	-1.00000	-1.00000	0.16174	-1.00000	-1.00000	0.13418	-1.00000	-1.00000	0.00121	-1.00000	-1.00000
1558	Oahu	MaroReef	un	3228	-0.03659	-1.00000	-1.00000	-0.00193	-1.00000	-1.00000	0.00366	-1.00000	-1.00000	0.00025	-1.00000	-1.00000
2717	Oahu	MaroReef	un	5098	-0.05629	-1.00000	-1.00000	-0.00412	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
3586	Oahu	MaroReef	un	5531	-0.03659	-1.00000	-1.00000	-0.00272	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
4438	Oahu	MaroReef	un	7143	-0.05033	-1.00000	-1.00000	-0.00438	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00015	-1.00000	-1.00000
4442	Oahu	MaroReef	un	7562	0.03995	-1.00000	-1.00000	-0.00049	-1.00000	-1.00000	-0.00758	-1.00000	-1.00000	0.00091	-1.00000	-1.00000
8862	Oahu	MaroReef	un	8689	0.11033	-1.00000	-1.00000	0.01023	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00040	-1.00000	-1.00000
12728	Oahu	MaroReef	un	12389	-0.03967	-1.00000	-1.00000	-0.00273	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
14943	Oahu	MaroReef	un	16794	-0.03967	-1.00000	-1.00000	-0.00273	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00010	-1.00000	-1.00000
15879	Oahu	MaroReef	un	17272	-0.05381	-1.00000	-1.00000	-0.00427	-1.00000	-1.00000	0.00403	-1.00000	-1.00000	0.00156	-1.00000	-1.00000
18283	Oahu	MaroReef	un	18751	0.19822	-1.00000	-1.00000	0.03664	-1.00000	-1.00000	0.02703	-1.00000	-1.00000	0.00049	-1.00000	-1.00000
18719	Oahu	MaroReef	un	19164	0.20459	-1.00000	-1.00000	0.13089	-1.00000	-1.00000	0.06956	-1.00000	-1.00000	0.00125	-1.00000	-1.00000
21436	Oahu	MaroReef	un	21423	0.00948	-1.00000	-1.00000	-0.00570	-1.00000	-1.00000	0.00581	-1.00000	-1.00000	0.00150	-1.00000	-1.00000
23288	Oahu	MaroReef	un	22019	-0.04979	-1.00000	-1.00000	-0.00801	-1.00000	-1.00000	-0.01515	-1.00000	-1.00000	0.00050	-1.00000	-1.00000
24817	Oahu	MaroReef	un	22347	-0.05381	-1.00000	-1.00000	-0.00427	-1.00000	-1.00000	0.01223	-1.00000	-1.00000	0.00048	-1.00000	-1.00000
25264	Oahu	MaroReef	un	22661	-0.03659	-1.00000	-1.00000	-0.00272	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
25318	Oahu	MaroReef	un	23339	-0.00424	-1.00000	-1.00000	-0.00570	-1.00000	-1.00000	-0.00746	-1.00000	-1.00000	0.00067	-1.00000	-1.00000
25398	Oahu	MaroReef	un	23677	-0.00684	-1.00000	-1.00000	-0.01666	-1.00000	-1.00000	0.01218	-1.00000	-1.00000	0.00098	-1.00000	-1.00000
25605	Oahu	MaroReef	un	24139	-0.03659	-1.00000	-1.00000	-0.00272	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
26429	Oahu	MaroReef	un	25269	-0.03659	-1.00000	-1.00000	-0.00272	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00011	-1.00000	-1.00000
26579	Oahu	MaroReef	un	26211	0.07455	-1.00000	-1.00000	0.00572	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00038	-1.00000	-1.00000
26712	Oahu	MaroReef	un	26475	-0.03226	-1.00000	-1.00000	-0.00261	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00018	-1.00000	-1.00000
27012	Oahu	MaroReef	un	27160	0.17949	-1.00000	-1.00000	0.03518	-1.00000	-1.00000	0.02703	-1.00000	-1.00000	0.00054	-1.00000	-1.00000
27287	Oahu	MaroReef	un	27529	-0.05381	-1.00000	-1.00000	-0.00427	-1.00000	-1.00000	0.01449	-1.00000	-1.00000	0.00168	-1.00000	-1.00000
27423	Oahu	MaroReef	un	27802	0.00948	-1.00000	-1.00000	-0.00570	-1.00000	-1.00000	-0.00746	-1.00000	-1.00000	0.00035	-1.00000	-1.00000
30368	Oahu	MaroReef	un	28546	-0.03659	-1.00000	-1.00000	-0.00272	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
33831	Oahu	MaroReef	un	30278	-0.04738	-1.00000	-1.00000	-0.02129	-1.00000	-1.00000	0.05358	-1.00000	-1.00000	0.00142	-1.00000	-1.00000
34388	Oahu	MaroReef	un	31159	0.07455	-1.00000	-1.00000	0.00572	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
