# Population Maui	220MAPtu,222MAPtu,228MAPtu,233MAPtu,238MAPtu,246MAPtu,78MAPtu,79MAPtu,80MAPtu,85MAPtu
# Population Molokai	314MOPtu,317MOPtu,319MOPtu,322MOPtu,326MOPtu,330MOPtu,332MOPtu,348MOPtu,350MOPtu,352MOPtu
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
327	Maui	Molokai	un	1	-0.00544	-1.00000	-1.00000	-0.00030	-1.00000	-1.00000	0.00031	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
878	Maui	Molokai	un	622	-0.02426	-1.00000	-1.00000	-0.02292	-1.00000	-1.00000	-0.02245	-1.00000	-1.00000	0.00114	-1.00000	-1.00000
1201	Maui	Molokai	un	1938	-0.05443	-1.00000	-1.00000	-0.05758	-1.00000	-1.00000	-0.04747	-1.00000	-1.00000	0.00143	-1.00000	-1.00000
1257	Maui	Molokai	un	2322	0.18580	-1.00000	-1.00000	0.18980	-1.00000	-1.00000	0.19119	-1.00000	-1.00000	0.00191	-1.00000	-1.00000
1875	Maui	Molokai	un	3674	0.00758	-1.00000	-1.00000	0.00048	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
2388	Maui	Molokai	un	4415	-0.01165	-1.00000	-1.00000	-0.00068	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
2717	Maui	Molokai	un	5098	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
3586	Maui	Molokai	un	5531	0.00535	-1.00000	-1.00000	0.00137	-1.00000	-1.00000	0.01999	-1.00000	-1.00000	0.00117	-1.00000	-1.00000
4434	Maui	Molokai	un	6715	-0.00679	-1.00000	-1.00000	-0.00042	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
4438	Maui	Molokai	un	7143	0.00000	-1.00000	-1.00000	-0.00446	-1.00000	-1.00000	-0.00446	-1.00000	-1.00000	0.00045	-1.00000	-1.00000
10061	Maui	Molokai	un	9686	-0.01165	-1.00000	-1.00000	-0.00068	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
11008	Maui	Molokai	un	10097	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.01127	-1.00000	-1.00000	0.00054	-1.00000	-1.00000
11074	Maui	Molokai	un	10569	-0.00679	-1.00000	-1.00000	-0.00042	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
11315	Maui	Molokai	un	11037	0.00042	-1.00000	-1.00000	-0.00388	-1.00000	-1.00000	-0.00394	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
12220	Maui	Molokai	un	12052	0.00601	-1.00000	-1.00000	0.00034	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
13246	Maui	Molokai	un	13007	-0.01165	-1.00000	-1.00000	-0.00068	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
13955	Maui	Molokai	un	13394	-0.00679	-1.00000	-1.00000	-0.00042	-1.00000	-1.00000	-0.01417	-1.00000	-1.00000	0.00124	-1.00000	-1.00000
14455	Maui	Molokai	un	14620	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
14522	Maui	Molokai	un	15437	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00049	-1.00000	-1.00000	0.00044	-1.00000	-1.00000
14706	Maui	Molokai	un	15819	0.00145	-1.00000	-1.00000	-0.00334	-1.00000	-1.00000	-0.00352	-1.00000	-1.00000	0.00036	-1.00000	-1.00000
15879	Maui	Molokai	un	17272	0.00000	-1.00000	-1.00000	-0.00446	-1.00000	-1.00000	-0.00446	-1.00000	-1.00000	0.00035	-1.00000	-1.00000
17180	Maui	Molokai	un	18022	0.00145	-1.00000	-1.00000	-0.00334	-1.00000	-1.00000	-0.00352	-1.00000	-1.00000	0.00015	-1.00000	-1.00000
18283	Maui	Molokai	un	18751	0.01437	-1.00000	-1.00000	0.00086	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00015	-1.00000	-1.00000
18719	Maui	Molokai	un	19164	0.03070	-1.00000	-1.00000	0.01416	-1.00000	-1.00000	0.01544	-1.00000	-1.00000	0.00036	-1.00000	-1.00000
19853	Maui	Molokai	un	20328	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
21436	Maui	Molokai	un	21423	0.04950	-1.00000	-1.00000	0.00221	-1.00000	-1.00000	0.00015	-1.00000	-1.00000	0.00079	-1.00000	-1.00000
23288	Maui	Molokai	un	22019	0.01437	-1.00000	-1.00000	0.00086	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
24817	Maui	Molokai	un	22347	0.03646	-1.00000	-1.00000	0.01124	-1.00000	-1.00000	0.01206	-1.00000	-1.00000	0.00074	-1.00000	-1.00000
25264	Maui	Molokai	un	22661	0.01437	-1.00000	-1.00000	0.00086	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00009	-1.00000	-1.00000
25318	Maui	Molokai	un	23339	-0.04306	-1.00000	-1.00000	-0.00388	-1.00000	-1.00000	-0.00394	-1.00000	-1.00000	0.00049	-1.00000	-1.00000
25398	Maui	Molokai	un	23677	-0.01197	-1.00000	-1.00000	-0.01120	-1.00000	-1.00000	-0.01097	-1.00000	-1.00000	0.00056	-1.00000	-1.00000
25623	Maui	Molokai	un	24464	0.07778	-1.00000	-1.00000	0.03479	-1.00000	-1.00000	0.03644	-1.00000	-1.00000	0.00046	-1.00000	-1.00000
26422	Maui	Molokai	un	24953	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00018	-1.00000	-1.00000
26556	Maui	Molokai	un	25774	0.00758	-1.00000	-1.00000	0.00048	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
27012	Maui	Molokai	un	27160	0.02059	-1.00000	-1.00000	0.01017	-1.00000	-1.00000	0.01223	-1.00000	-1.00000	0.00041	-1.00000	-1.00000
27287	Maui	Molokai	un	27529	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.01544	-1.00000	-1.00000	0.00102	-1.00000	-1.00000
31865	Maui	Molokai	un	28955	0.04950	-1.00000	-1.00000	0.00647	-1.00000	-1.00000	0.00730	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
32562	Maui	Molokai	un	29426	-0.01165	-1.00000	-1.00000	-0.00068	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
33047	Maui	Molokai	un	29805	0.00758	-1.00000	-1.00000	0.00048	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
33831	Maui	Molokai	un	30278	-0.02088	-1.00000	-1.00000	0.01049	-1.00000	-1.00000	-0.02037	-1.00000	-1.00000	0.00123	-1.00000	-1.00000
34090	Maui	Molokai	un	30857	0.00000	-1.00000	-1.00000	-0.00347	-1.00000	-1.00000	-0.00347	-1.00000	-1.00000	0.00055	-1.00000	-1.00000
