# Population PioneerBanks	210PBPtu,211PBPtu,214PBPtu
# Population Molokai	314MOPtu,317MOPtu,319MOPtu,322MOPtu,326MOPtu,330MOPtu,332MOPtu,348MOPtu,350MOPtu,352MOPtu
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
878	PioneerBanks	Molokai	un	622	-0.04535	-1.00000	-1.00000	-0.04476	-1.00000	-1.00000	-0.06195	-1.00000	-1.00000	0.00119	-1.00000	-1.00000
1201	PioneerBanks	Molokai	un	1938	-0.12500	-1.00000	-1.00000	-0.13793	-1.00000	-1.00000	-0.14765	-1.00000	-1.00000	0.00143	-1.00000	-1.00000
1257	PioneerBanks	Molokai	un	2322	0.35135	-1.00000	-1.00000	0.35714	-1.00000	-1.00000	0.39683	-1.00000	-1.00000	0.00196	-1.00000	-1.00000
2388	PioneerBanks	Molokai	un	4415	-0.08314	-1.00000	-1.00000	-0.00644	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
3586	PioneerBanks	Molokai	un	5531	0.01099	-1.00000	-1.00000	0.00302	-1.00000	-1.00000	0.04682	-1.00000	-1.00000	0.00104	-1.00000	-1.00000
4434	PioneerBanks	Molokai	un	6715	-0.08127	-1.00000	-1.00000	-0.00688	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
4438	PioneerBanks	Molokai	un	7143	-0.07865	-1.00000	-1.00000	-0.01045	-1.00000	-1.00000	0.00474	-1.00000	-1.00000	0.00030	-1.00000	-1.00000
10061	PioneerBanks	Molokai	un	9686	-0.08314	-1.00000	-1.00000	-0.00644	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
11074	PioneerBanks	Molokai	un	10569	-0.08127	-1.00000	-1.00000	-0.00688	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
11315	PioneerBanks	Molokai	un	11037	-0.08127	-1.00000	-1.00000	-0.00688	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00011	-1.00000	-1.00000
13246	PioneerBanks	Molokai	un	13007	-0.08314	-1.00000	-1.00000	-0.00644	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
13955	PioneerBanks	Molokai	un	13394	-0.08127	-1.00000	-1.00000	-0.00688	-1.00000	-1.00000	0.01223	-1.00000	-1.00000	0.00070	-1.00000	-1.00000
14706	PioneerBanks	Molokai	un	15819	-0.08314	-1.00000	-1.00000	-0.00644	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
15879	PioneerBanks	Molokai	un	17272	-0.07865	-1.00000	-1.00000	-0.00735	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00018	-1.00000	-1.00000
17180	PioneerBanks	Molokai	un	18022	-0.08314	-1.00000	-1.00000	-0.00644	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00007	-1.00000	-1.00000
18719	PioneerBanks	Molokai	un	19164	-0.05125	-1.00000	-1.00000	-0.00576	-1.00000	-1.00000	0.01544	-1.00000	-1.00000	0.00036	-1.00000	-1.00000
19853	PioneerBanks	Molokai	un	20328	-0.07865	-1.00000	-1.00000	-0.00735	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
21436	PioneerBanks	Molokai	un	21423	0.11967	-1.00000	-1.00000	0.00461	-1.00000	-1.00000	-0.02086	-1.00000	-1.00000	0.00145	-1.00000	-1.00000
23288	PioneerBanks	Molokai	un	22019	0.22581	-1.00000	-1.00000	0.02373	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00051	-1.00000	-1.00000
24817	PioneerBanks	Molokai	un	22347	0.04000	-1.00000	-1.00000	0.01370	-1.00000	-1.00000	0.03797	-1.00000	-1.00000	0.00064	-1.00000	-1.00000
25318	PioneerBanks	Molokai	un	23339	-0.08127	-1.00000	-1.00000	-0.00688	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00033	-1.00000	-1.00000
25398	PioneerBanks	Molokai	un	23677	0.06541	-1.00000	-1.00000	-0.00749	-1.00000	-1.00000	-0.01317	-1.00000	-1.00000	0.00069	-1.00000	-1.00000
25623	PioneerBanks	Molokai	un	24464	-0.01270	-1.00000	-1.00000	0.00894	-1.00000	-1.00000	0.03644	-1.00000	-1.00000	0.00046	-1.00000	-1.00000
27012	PioneerBanks	Molokai	un	27160	-0.05685	-1.00000	-1.00000	-0.00761	-1.00000	-1.00000	0.01223	-1.00000	-1.00000	0.00041	-1.00000	-1.00000
27287	PioneerBanks	Molokai	un	27529	-0.07865	-1.00000	-1.00000	-0.00735	-1.00000	-1.00000	0.01544	-1.00000	-1.00000	0.00102	-1.00000	-1.00000
32562	PioneerBanks	Molokai	un	29426	-0.08314	-1.00000	-1.00000	-0.00644	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
