# Population Kure	187KURPtu,188KURPtu,190KURPtu,191KURPtu,192KURPtu,193KURPtu,197KURPtu,198KURPtu,202KURPtu,204KURPtu
# Population Molokai	314MOPtu,317MOPtu,319MOPtu,322MOPtu,326MOPtu,330MOPtu,332MOPtu,348MOPtu,350MOPtu,352MOPtu
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
878	Kure	Molokai	un	622	0.01170	-1.00000	-1.00000	0.01161	-1.00000	-1.00000	0.01211	-1.00000	-1.00000	0.00119	-1.00000	-1.00000
1201	Kure	Molokai	un	1938	-0.05572	-1.00000	-1.00000	-0.05900	-1.00000	-1.00000	-0.04908	-1.00000	-1.00000	0.00143	-1.00000	-1.00000
1257	Kure	Molokai	un	2322	0.49474	-1.00000	-1.00000	0.39683	-1.00000	-1.00000	0.39683	-1.00000	-1.00000	0.00196	-1.00000	-1.00000
1334	Kure	Molokai	un	2834	-0.00544	-1.00000	-1.00000	-0.00030	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
2388	Kure	Molokai	un	4415	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
2717	Kure	Molokai	un	5098	-0.00544	-1.00000	-1.00000	0.00826	-1.00000	-1.00000	0.00920	-1.00000	-1.00000	0.00035	-1.00000	-1.00000
3586	Kure	Molokai	un	5531	0.12833	-1.00000	-1.00000	0.02395	-1.00000	-1.00000	0.04682	-1.00000	-1.00000	0.00104	-1.00000	-1.00000
4434	Kure	Molokai	un	6715	0.00601	-1.00000	-1.00000	0.00034	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
4438	Kure	Molokai	un	7143	0.00758	-1.00000	-1.00000	0.00572	-1.00000	-1.00000	-0.00391	-1.00000	-1.00000	0.00054	-1.00000	-1.00000
9984	Kure	Molokai	un	9339	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
10061	Kure	Molokai	un	9686	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
11074	Kure	Molokai	un	10569	0.00601	-1.00000	-1.00000	0.00034	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
11315	Kure	Molokai	un	11037	0.00030	-1.00000	-1.00000	-0.00307	-1.00000	-1.00000	-0.00311	-1.00000	-1.00000	0.00021	-1.00000	-1.00000
13246	Kure	Molokai	un	13007	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
