# Population Maui	220MAPtu,222MAPtu,228MAPtu,233MAPtu,238MAPtu,246MAPtu,78MAPtu,79MAPtu,80MAPtu,85MAPtu
# Population BigIsland	393BIPtu,397BIPtu,398BIPtu,399BIPtu,405BIPtu,408BIPtu,412BIPtu,413BIPtu,414BIPtu,415BIPtu,420BIPtu,421BIPtu,422BIPtu,423BIPtu,424BIPtu,428BIPtu,429BIPtu
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
327	Maui	BigIsland	un	1	0.00465	-1.00000	-1.00000	-0.00131	-1.00000	-1.00000	-0.00098	-1.00000	-1.00000	0.00022	-1.00000	-1.00000
878	Maui	BigIsland	un	622	-0.02814	-1.00000	-1.00000	-0.02673	-1.00000	-1.00000	-0.02730	-1.00000	-1.00000	0.00124	-1.00000	-1.00000
1180	Maui	BigIsland	un	1442	-0.02062	-1.00000	-1.00000	-0.00069	-1.00000	-1.00000	0.00095	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
1201	Maui	BigIsland	un	1938	-0.04711	-1.00000	-1.00000	-0.04846	-1.00000	-1.00000	-0.04651	-1.00000	-1.00000	0.00137	-1.00000	-1.00000
1257	Maui	BigIsland	un	2322	0.01338	-1.00000	-1.00000	0.01882	-1.00000	-1.00000	0.10832	-1.00000	-1.00000	0.00182	-1.00000	-1.00000
1875	Maui	BigIsland	un	3674	-0.03326	-1.00000	-1.00000	-0.00281	-1.00000	-1.00000	-0.00405	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
2388	Maui	BigIsland	un	4415	-0.02179	-1.00000	-1.00000	-0.00102	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00011	-1.00000	-1.00000
2717	Maui	BigIsland	un	5098	-0.02994	-1.00000	-1.00000	-0.00460	-1.00000	-1.00000	-0.00452	-1.00000	-1.00000	0.00026	-1.00000	-1.00000
3586	Maui	BigIsland	un	5531	-0.04492	-1.00000	-1.00000	-0.00571	-1.00000	-1.00000	-0.00321	-1.00000	-1.00000	0.00068	-1.00000	-1.00000
4438	Maui	BigIsland	un	7143	0.00118	-1.00000	-1.00000	-0.00267	-1.00000	-1.00000	-0.00035	-1.00000	-1.00000	0.00047	-1.00000	-1.00000
8862	Maui	BigIsland	un	8689	-0.02179	-1.00000	-1.00000	-0.00102	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
9984	Maui	BigIsland	un	9339	-0.02518	-1.00000	-1.00000	-0.00102	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
11008	Maui	BigIsland	un	10097	-0.03574	-1.00000	-1.00000	-0.00644	-1.00000	-1.00000	0.01998	-1.00000	-1.00000	0.00074	-1.00000	-1.00000
