# Population MaroReef	164MRPtu,165MRPtu,169MRPtu,172MRPtu,175MRPtu
# Population PioneerBanks	210PBPtu,211PBPtu,214PBPtu
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
878	MaroReef	PioneerBanks	un	622	-0.15385	-1.00000	-1.00000	-0.17978	-1.00000	-1.00000	-0.18421	-1.00000	-1.00000	0.00119	-1.00000	-1.00000
1201	MaroReef	PioneerBanks	un	1938	-0.13043	-1.00000	-1.00000	-0.14754	-1.00000	-1.00000	-0.15385	-1.00000	-1.00000	0.00130	-1.00000	-1.00000
1257	MaroReef	PioneerBanks	un	2322	0.25000	-1.00000	-1.00000	0.16000	-1.00000	-1.00000	0.18182	-1.00000	-1.00000	0.00078	-1.00000	-1.00000
4442	MaroReef	PioneerBanks	un	7562	-0.04025	-1.00000	-1.00000	-0.00649	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00065	-1.00000	-1.00000
8862	MaroReef	PioneerBanks	un	8689	-0.04025	-1.00000	-1.00000	-0.00649	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00040	-1.00000	-1.00000
18283	MaroReef	PioneerBanks	un	18751	0.04000	-1.00000	-1.00000	0.01176	-1.00000	-1.00000	0.02703	-1.00000	-1.00000	0.00049	-1.00000	-1.00000
18719	MaroReef	PioneerBanks	un	19164	0.06024	-1.00000	-1.00000	0.08364	-1.00000	-1.00000	0.11475	-1.00000	-1.00000	0.00108	-1.00000	-1.00000
21436	MaroReef	PioneerBanks	un	21423	0.04348	-1.00000	-1.00000	-0.01613	-1.00000	-1.00000	-0.02273	-1.00000	-1.00000	0.00130	-1.00000	-1.00000
23288	MaroReef	PioneerBanks	un	22019	0.00656	-1.00000	-1.00000	-0.02669	-1.00000	-1.00000	-0.02941	-1.00000	-1.00000	0.00089	-1.00000	-1.00000
25318	MaroReef	PioneerBanks	un	23339	-0.05882	-1.00000	-1.00000	-0.00800	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00030	-1.00000	-1.00000
25398	MaroReef	PioneerBanks	un	23677	0.00656	-1.00000	-1.00000	-0.02669	-1.00000	-1.00000	-0.00962	-1.00000	-1.00000	0.00101	-1.00000	-1.00000
26579	MaroReef	PioneerBanks	un	26211	-0.05882	-1.00000	-1.00000	-0.00800	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00038	-1.00000	-1.00000
27012	MaroReef	PioneerBanks	un	27160	0.04000	-1.00000	-1.00000	0.01176	-1.00000	-1.00000	0.02703	-1.00000	-1.00000	0.00054	-1.00000	-1.00000
27423	MaroReef	PioneerBanks	un	27802	-0.05882	-1.00000	-1.00000	-0.00800	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00021	-1.00000	-1.00000
33831	MaroReef	PioneerBanks	un	30278	-0.07653	-1.00000	-1.00000	0.00525	-1.00000	-1.00000	0.10714	-1.00000	-1.00000	0.00162	-1.00000	-1.00000
34388	MaroReef	PioneerBanks	un	31159	0.01887	-1.00000	-1.00000	-0.01613	-1.00000	-1.00000	-0.02273	-1.00000	-1.00000	0.00042	-1.00000	-1.00000
35833	MaroReef	PioneerBanks	un	34864	-0.05882	-1.00000	-1.00000	-0.00800	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00025	-1.00000	-1.00000
38520	MaroReef	PioneerBanks	un	35768	-0.05882	-1.00000	-1.00000	-0.00800	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00025	-1.00000	-1.00000
38950	MaroReef	PioneerBanks	un	36166	0.05138	-1.00000	-1.00000	0.00895	-1.00000	-1.00000	-0.01695	-1.00000	-1.00000	0.00119	-1.00000	-1.00000
41423	MaroReef	PioneerBanks	un	37674	0.01887	-1.00000	-1.00000	-0.01613	-1.00000	-1.00000	-0.02273	-1.00000	-1.00000	0.00068	-1.00000	-1.00000
43331	MaroReef	PioneerBanks	un	38445	-0.05882	-1.00000	-1.00000	-0.00800	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
43460	MaroReef	PioneerBanks	un	38969	-0.05882	-1.00000	-1.00000	-0.00800	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
