# Population Oahu	113OAPtu,117OAPtu,123OAPtu,127OAPtu,129OAPtu,132OAPtu,133OAPtu,137OAPtu,92OAPtu,93OAPtu
# Population Kauai	445KAPtu,451KAPtu,458KAPtu,460KAPtu,461KAPtu,469KAPtu,471KAPtu,478KAPtu,480KAPtu,481KAPtu,482KAPtu,483KAPtu,485KAPtu,486KAPtu,491KAPtu
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
327	Oahu	Kauai	un	1	-0.01049	-1.00000	-1.00000	-0.00047	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00006	-1.00000	-1.00000
878	Oahu	Kauai	un	622	-0.04513	-1.00000	-1.00000	-0.04433	-1.00000	-1.00000	-0.04430	-1.00000	-1.00000	0.00115	-1.00000	-1.00000
1180	Oahu	Kauai	un	1442	0.00363	-1.00000	-1.00000	0.00846	-1.00000	-1.00000	0.01069	-1.00000	-1.00000	0.00029	-1.00000	-1.00000
1201	Oahu	Kauai	un	1938	-0.05164	-1.00000	-1.00000	-0.05424	-1.00000	-1.00000	-0.05181	-1.00000	-1.00000	0.00139	-1.00000	-1.00000
1257	Oahu	Kauai	un	2322	0.00007	-1.00000	-1.00000	0.00154	-1.00000	-1.00000	-0.01027	-1.00000	-1.00000	0.00099	-1.00000	-1.00000
1558	Oahu	Kauai	un	3228	0.02116	-1.00000	-1.00000	0.00577	-1.00000	-1.00000	0.00366	-1.00000	-1.00000	0.00025	-1.00000	-1.00000
2717	Oahu	Kauai	un	5098	0.00354	-1.00000	-1.00000	-0.00151	-1.00000	-1.00000	-0.00182	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
3586	Oahu	Kauai	un	5531	0.00462	-1.00000	-1.00000	-0.00174	-1.00000	-1.00000	-0.00218	-1.00000	-1.00000	0.00038	-1.00000	-1.00000
4438	Oahu	Kauai	un	7143	0.00995	-1.00000	-1.00000	-0.00134	-1.00000	-1.00000	-0.00230	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
4442	Oahu	Kauai	un	7562	0.02104	-1.00000	-1.00000	0.00089	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00026	-1.00000	-1.00000
8862	Oahu	Kauai	un	8689	-0.01681	-1.00000	-1.00000	-0.00075	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00011	-1.00000	-1.00000
11008	Oahu	Kauai	un	10097	-0.02011	-1.00000	-1.00000	-0.00099	-1.00000	-1.00000	0.00264	-1.00000	-1.00000	0.00032	-1.00000	-1.00000
11315	Oahu	Kauai	un	11037	-0.01259	-1.00000	-1.00000	-0.00054	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00007	-1.00000	-1.00000
11796	Oahu	Kauai	un	11536	-0.02011	-1.00000	-1.00000	-0.00099	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00007	-1.00000	-1.00000
12220	Oahu	Kauai	un	12052	-0.01253	-1.00000	-1.00000	-0.00062	-1.00000	-1.00000	0.00691	-1.00000	-1.00000	0.00034	-1.00000	-1.00000
12728	Oahu	Kauai	un	12389	0.01736	-1.00000	-1.00000	0.00077	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
13246	Oahu	Kauai	un	13007	-0.01681	-1.00000	-1.00000	-0.00075	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00009	-1.00000	-1.00000
14706	Oahu	Kauai	un	15819	-0.01834	-1.00000	-1.00000	-0.00078	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00011	-1.00000	-1.00000
14943	Oahu	Kauai	un	16794	0.01348	-1.00000	-1.00000	0.00062	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00010	-1.00000	-1.00000
15879	Oahu	Kauai	un	17272	0.00272	-1.00000	-1.00000	-0.00355	-1.00000	-1.00000	0.00067	-1.00000	-1.00000	0.00097	-1.00000	-1.00000
18283	Oahu	Kauai	un	18751	-0.01492	-1.00000	-1.00000	0.00024	-1.00000	-1.00000	0.01069	-1.00000	-1.00000	0.00035	-1.00000	-1.00000
21436	Oahu	Kauai	un	21423	0.01825	-1.00000	-1.00000	-0.00229	-1.00000	-1.00000	0.01934	-1.00000	-1.00000	0.00141	-1.00000	-1.00000
21548	Oahu	Kauai	un	21758	-0.01259	-1.00000	-1.00000	-0.00054	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
23288	Oahu	Kauai	un	22019	0.00934	-1.00000	-1.00000	0.00045	-1.00000	-1.00000	-0.00088	-1.00000	-1.00000	0.00039	-1.00000	-1.00000
24817	Oahu	Kauai	un	22347	-0.00277	-1.00000	-1.00000	-0.00370	-1.00000	-1.00000	-0.01205	-1.00000	-1.00000	0.00106	-1.00000	-1.00000
25264	Oahu	Kauai	un	22661	0.02559	-1.00000	-1.00000	0.00119	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
25318	Oahu	Kauai	un	23339	0.01779	-1.00000	-1.00000	-0.00166	-1.00000	-1.00000	-0.00248	-1.00000	-1.00000	0.00048	-1.00000	-1.00000
25398	Oahu	Kauai	un	23677	0.00507	-1.00000	-1.00000	0.00306	-1.00000	-1.00000	0.00202	-1.00000	-1.00000	0.00042	-1.00000	-1.00000
25605	Oahu	Kauai	un	24139	0.00604	-1.00000	-1.00000	-0.00148	-1.00000	-1.00000	-0.00203	-1.00000	-1.00000	0.00027	-1.00000	-1.00000
25623	Oahu	Kauai	un	24464	0.03362	-1.00000	-1.00000	0.01825	-1.00000	-1.00000	0.02205	-1.00000	-1.00000	0.00037	-1.00000	-1.00000
26422	Oahu	Kauai	un	24953	-0.02315	-1.00000	-1.00000	-0.00103	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00011	-1.00000	-1.00000
26429	Oahu	Kauai	un	25269	0.02559	-1.00000	-1.00000	0.00119	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00011	-1.00000	-1.00000
26712	Oahu	Kauai	un	26475	0.03697	-1.00000	-1.00000	0.00182	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00018	-1.00000	-1.00000
27012	Oahu	Kauai	un	27160	-0.02179	-1.00000	-1.00000	-0.00102	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00010	-1.00000	-1.00000
27287	Oahu	Kauai	un	27529	-0.00520	-1.00000	-1.00000	-0.00234	-1.00000	-1.00000	-0.00256	-1.00000	-1.00000	0.00067	-1.00000	-1.00000
27423	Oahu	Kauai	un	27802	0.03697	-1.00000	-1.00000	0.00182	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
30368	Oahu	Kauai	un	28546	0.00462	-1.00000	-1.00000	-0.00174	-1.00000	-1.00000	-0.00218	-1.00000	-1.00000	0.00022	-1.00000	-1.00000
31865	Oahu	Kauai	un	28955	-0.00785	-1.00000	-1.00000	-0.00037	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00009	-1.00000	-1.00000
33831	Oahu	Kauai	un	30278	-0.01662	-1.00000	-1.00000	-0.01169	-1.00000	-1.00000	-0.01179	-1.00000	-1.00000	0.00077	-1.00000	-1.00000
34388	Oahu	Kauai	un	31159	-0.01259	-1.00000	-1.00000	-0.00054	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00006	-1.00000	-1.00000
35043	Oahu	Kauai	un	32575	0.02559	-1.00000	-1.00000	0.00119	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
35167	Oahu	Kauai	un	33981	0.02980	-1.00000	-1.00000	0.00133	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00010	-1.00000	-1.00000
35665	Oahu	Kauai	un	34515	-0.01834	-1.00000	-1.00000	-0.00078	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00010	-1.00000	-1.00000
35833	Oahu	Kauai	un	34864	-0.00113	-1.00000	-1.00000	0.00844	-1.00000	-1.00000	-0.01378	-1.00000	-1.00000	0.00141	-1.00000	-1.00000
38950	Oahu	Kauai	un	36166	-0.01428	-1.00000	-1.00000	-0.00059	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00011	-1.00000	-1.00000
40411	Oahu	Kauai	un	36812	0.03697	-1.00000	-1.00000	0.00182	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00015	-1.00000	-1.00000
