# Population Kure	187KURPtu,188KURPtu,190KURPtu,191KURPtu,192KURPtu,193KURPtu,197KURPtu,198KURPtu,202KURPtu,204KURPtu
# Population Kauai	445KAPtu,451KAPtu,458KAPtu,460KAPtu,461KAPtu,469KAPtu,471KAPtu,478KAPtu,480KAPtu,481KAPtu,482KAPtu,483KAPtu,485KAPtu,486KAPtu,491KAPtu
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
327	Kure	Kauai	un	1	-0.01049	-1.00000	-1.00000	-0.00047	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00006	-1.00000	-1.00000
878	Kure	Kauai	un	622	-0.03686	-1.00000	-1.00000	-0.03812	-1.00000	-1.00000	-0.03853	-1.00000	-1.00000	0.00119	-1.00000	-1.00000
1180	Kure	Kauai	un	1442	0.00363	-1.00000	-1.00000	0.00846	-1.00000	-1.00000	0.01069	-1.00000	-1.00000	0.00029	-1.00000	-1.00000
1201	Kure	Kauai	un	1938	-0.04478	-1.00000	-1.00000	-0.04681	-1.00000	-1.00000	-0.04356	-1.00000	-1.00000	0.00139	-1.00000	-1.00000
1257	Kure	Kauai	un	2322	0.03261	-1.00000	-1.00000	0.00320	-1.00000	-1.00000	0.02782	-1.00000	-1.00000	0.00049	-1.00000	-1.00000
1334	Kure	Kauai	un	2834	0.02104	-1.00000	-1.00000	0.00089	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
2717	Kure	Kauai	un	5098	0.01233	-1.00000	-1.00000	0.00574	-1.00000	-1.00000	0.00351	-1.00000	-1.00000	0.00042	-1.00000	-1.00000
3586	Kure	Kauai	un	5531	-0.01259	-1.00000	-1.00000	-0.00054	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00015	-1.00000	-1.00000
4438	Kure	Kauai	un	7143	-0.01834	-1.00000	-1.00000	-0.00078	-1.00000	-1.00000	0.00221	-1.00000	-1.00000	0.00031	-1.00000	-1.00000
8862	Kure	Kauai	un	8689	-0.01681	-1.00000	-1.00000	-0.00075	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00011	-1.00000	-1.00000
9984	Kure	Kauai	un	9339	0.02104	-1.00000	-1.00000	0.00089	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
11008	Kure	Kauai	un	10097	-0.01492	-1.00000	-1.00000	-0.00070	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
11315	Kure	Kauai	un	11037	0.00250	-1.00000	-1.00000	-0.00172	-1.00000	-1.00000	-0.00195	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
11796	Kure	Kauai	un	11536	-0.01049	-1.00000	-1.00000	-0.00047	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00007	-1.00000	-1.00000
12220	Kure	Kauai	un	12052	-0.00785	-1.00000	-1.00000	-0.00037	-1.00000	-1.00000	0.00691	-1.00000	-1.00000	0.00034	-1.00000	-1.00000
13246	Kure	Kauai	un	13007	-0.01259	-1.00000	-1.00000	-0.00054	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00009	-1.00000	-1.00000
14455	Kure	Kauai	un	14620	0.02559	-1.00000	-1.00000	0.00119	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
14706	Kure	Kauai	un	15819	0.00354	-1.00000	-1.00000	-0.00151	-1.00000	-1.00000	-0.00182	-1.00000	-1.00000	0.00026	-1.00000	-1.00000
15879	Kure	Kauai	un	17272	0.00391	-1.00000	-1.00000	0.00070	-1.00000	-1.00000	0.00166	-1.00000	-1.00000	0.00055	-1.00000	-1.00000
17180	Kure	Kauai	un	18022	0.01736	-1.00000	-1.00000	0.00077	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00007	-1.00000	-1.00000
18283	Kure	Kauai	un	18751	-0.01049	-1.00000	-1.00000	0.00070	-1.00000	-1.00000	0.01069	-1.00000	-1.00000	0.00035	-1.00000	-1.00000
18719	Kure	Kauai	un	19164	0.00934	-1.00000	-1.00000	0.00045	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00011	-1.00000	-1.00000
19311	Kure	Kauai	un	19627	0.02559	-1.00000	-1.00000	0.00119	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
19853	Kure	Kauai	un	20328	0.08994	-1.00000	-1.00000	0.00932	-1.00000	-1.00000	0.00730	-1.00000	-1.00000	0.00030	-1.00000	-1.00000
21436	Kure	Kauai	un	21423	0.01906	-1.00000	-1.00000	-0.00136	-1.00000	-1.00000	-0.00105	-1.00000	-1.00000	0.00036	-1.00000	-1.00000
21548	Kure	Kauai	un	21758	-0.01259	-1.00000	-1.00000	-0.00054	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
24817	Kure	Kauai	un	22347	-0.00277	-1.00000	-1.00000	-0.00370	-1.00000	-1.00000	-0.01205	-1.00000	-1.00000	0.00106	-1.00000	-1.00000
25318	Kure	Kauai	un	23339	-0.01259	-1.00000	-1.00000	-0.00054	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00011	-1.00000	-1.00000
