# Population MaroReef	164MRPtu,165MRPtu,169MRPtu,172MRPtu,175MRPtu
# Population Pearl_Hermes	178PHPtu,179PHPtu,180PHPtu,181PHPtu
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
878	MaroReef	Pearl_Hermes	un	622	-0.15385	-1.00000	-1.00000	-0.17978	-1.00000	-1.00000	-0.08000	-1.00000	-1.00000	0.00149	-1.00000	-1.00000
1201	MaroReef	Pearl_Hermes	un	1938	-0.13043	-1.00000	-1.00000	-0.14754	-1.00000	-1.00000	-0.15385	-1.00000	-1.00000	0.00130	-1.00000	-1.00000
1257	MaroReef	Pearl_Hermes	un	2322	0.25000	-1.00000	-1.00000	0.16000	-1.00000	-1.00000	0.18182	-1.00000	-1.00000	0.00078	-1.00000	-1.00000
2583	MaroReef	Pearl_Hermes	un	4728	0.02946	-1.00000	-1.00000	0.00378	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00034	-1.00000	-1.00000
2717	MaroReef	Pearl_Hermes	un	5098	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00029	-1.00000	-1.00000
4442	MaroReef	Pearl_Hermes	un	7562	-0.04025	-1.00000	-1.00000	-0.00649	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00065	-1.00000	-1.00000
8862	MaroReef	Pearl_Hermes	un	8689	-0.04025	-1.00000	-1.00000	-0.00649	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00040	-1.00000	-1.00000
9984	MaroReef	Pearl_Hermes	un	9339	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00036	-1.00000	-1.00000
13955	MaroReef	Pearl_Hermes	un	13394	0.02946	-1.00000	-1.00000	0.00378	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00025	-1.00000	-1.00000
14943	MaroReef	Pearl_Hermes	un	16794	0.02946	-1.00000	-1.00000	0.00378	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00026	-1.00000	-1.00000
18283	MaroReef	Pearl_Hermes	un	18751	0.04000	-1.00000	-1.00000	0.01176	-1.00000	-1.00000	0.02703	-1.00000	-1.00000	0.00049	-1.00000	-1.00000
18719	MaroReef	Pearl_Hermes	un	19164	0.06024	-1.00000	-1.00000	0.08364	-1.00000	-1.00000	0.11475	-1.00000	-1.00000	0.00108	-1.00000	-1.00000
21436	MaroReef	Pearl_Hermes	un	21423	-0.05882	-1.00000	-1.00000	-0.00800	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00030	-1.00000	-1.00000
