StacksLocus	SymbioLocus	PercentIdent	Length	Mismatch	GapOpen	QStart	QEnd	Sstart	SEnd	Evalue	BitScore
CLocus_19311_Sample_10_Locus_19311_Allele_0	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_10_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_10_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_10_Locus_19311_Allele_1	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_10_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_10_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_9_Locus_19311_Allele_0	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_9_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_9_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_9_Locus_19311_Allele_1	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_9_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_9_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_1_Locus_19311_Allele_0	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_1_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_1_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_1_Locus_19311_Allele_1	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_1_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_1_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_2_Locus_19311_Allele_0	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_2_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_2_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_2_Locus_19311_Allele_1	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_2_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_2_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_3_Locus_19311_Allele_0	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_3_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_3_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_3_Locus_19311_Allele_1	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_3_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_3_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_4_Locus_19311_Allele_0	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_4_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_4_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_4_Locus_19311_Allele_1	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_4_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_4_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_5_Locus_19311_Allele_0	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_5_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_5_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_5_Locus_19311_Allele_1	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_5_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_5_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_6_Locus_19311_Allele_0	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_6_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
