# Population MaroReef	164MRPtu,165MRPtu,169MRPtu,172MRPtu,175MRPtu
# Population Kure	187KURPtu,188KURPtu,190KURPtu,191KURPtu,192KURPtu,193KURPtu,197KURPtu,198KURPtu,202KURPtu,204KURPtu
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
878	MaroReef	Kure	un	622	-0.08434	-1.00000	-1.00000	-0.09142	-1.00000	-1.00000	-0.09286	-1.00000	-1.00000	0.00119	-1.00000	-1.00000
1201	MaroReef	Kure	un	1938	-0.05941	-1.00000	-1.00000	-0.06302	-1.00000	-1.00000	-0.06343	-1.00000	-1.00000	0.00130	-1.00000	-1.00000
1257	MaroReef	Kure	un	2322	0.46188	-1.00000	-1.00000	0.19694	-1.00000	-1.00000	0.18182	-1.00000	-1.00000	0.00078	-1.00000	-1.00000
1334	MaroReef	Kure	un	2834	-0.05629	-1.00000	-1.00000	-0.00412	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
2717	MaroReef	Kure	un	5098	-0.05629	-1.00000	-1.00000	-0.00375	-1.00000	-1.00000	0.00920	-1.00000	-1.00000	0.00035	-1.00000	-1.00000
4442	MaroReef	Kure	un	7562	0.09312	-1.00000	-1.00000	0.00925	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00065	-1.00000	-1.00000
8862	MaroReef	Kure	un	8689	0.11033	-1.00000	-1.00000	0.01023	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00040	-1.00000	-1.00000
9984	MaroReef	Kure	un	9339	-0.05629	-1.00000	-1.00000	-0.00412	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
11315	MaroReef	Kure	un	11037	-0.03967	-1.00000	-1.00000	-0.00273	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00010	-1.00000	-1.00000
14455	MaroReef	Kure	un	14620	-0.03659	-1.00000	-1.00000	-0.00272	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
14706	MaroReef	Kure	un	15819	-0.03967	-1.00000	-1.00000	-0.00273	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
17180	MaroReef	Kure	un	18022	-0.03967	-1.00000	-1.00000	-0.00273	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00007	-1.00000	-1.00000
18283	MaroReef	Kure	un	18751	0.21569	-1.00000	-1.00000	0.03780	-1.00000	-1.00000	0.02703	-1.00000	-1.00000	0.00049	-1.00000	-1.00000
18719	MaroReef	Kure	un	19164	0.18092	-1.00000	-1.00000	0.10419	-1.00000	-1.00000	0.08407	-1.00000	-1.00000	0.00117	-1.00000	-1.00000
19311	MaroReef	Kure	un	19627	-0.03659	-1.00000	-1.00000	-0.00272	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
19853	MaroReef	Kure	un	20328	0.01235	-1.00000	-1.00000	0.00192	-1.00000	-1.00000	0.00730	-1.00000	-1.00000	0.00030	-1.00000	-1.00000
21436	MaroReef	Kure	un	21423	0.01922	-1.00000	-1.00000	-0.00283	-1.00000	-1.00000	-0.00588	-1.00000	-1.00000	0.00045	-1.00000	-1.00000
23288	MaroReef	Kure	un	22019	0.11033	-1.00000	-1.00000	0.01023	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00038	-1.00000	-1.00000
24817	MaroReef	Kure	un	22347	-0.05381	-1.00000	-1.00000	-0.00427	-1.00000	-1.00000	0.01223	-1.00000	-1.00000	0.00048	-1.00000	-1.00000
25318	MaroReef	Kure	un	23339	0.07455	-1.00000	-1.00000	0.00572	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00030	-1.00000	-1.00000
25398	MaroReef	Kure	un	23677	0.12637	-1.00000	-1.00000	0.01100	-1.00000	-1.00000	0.05970	-1.00000	-1.00000	0.00065	-1.00000	-1.00000
26579	MaroReef	Kure	un	26211	0.07455	-1.00000	-1.00000	0.00572	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00038	-1.00000	-1.00000
27012	MaroReef	Kure	un	27160	0.01134	-1.00000	-1.00000	-0.00643	-1.00000	-1.00000	-0.01098	-1.00000	-1.00000	0.00078	-1.00000	-1.00000
27423	MaroReef	Kure	un	27802	0.06250	-1.00000	-1.00000	0.00510	-1.00000	-1.00000	-0.00588	-1.00000	-1.00000	0.00043	-1.00000	-1.00000
31865	MaroReef	Kure	un	28955	-0.03967	-1.00000	-1.00000	-0.00273	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00011	-1.00000	-1.00000
33047	MaroReef	Kure	un	29805	-0.03967	-1.00000	-1.00000	-0.00269	-1.00000	-1.00000	0.00292	-1.00000	-1.00000	0.00021	-1.00000	-1.00000
33831	MaroReef	Kure	un	30278	-0.01053	-1.00000	-1.00000	0.02340	-1.00000	-1.00000	0.05426	-1.00000	-1.00000	0.00159	-1.00000	-1.00000
34090	MaroReef	Kure	un	30857	-0.03967	-1.00000	-1.00000	-0.00273	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
34388	MaroReef	Kure	un	31159	-0.00000	-1.00000	-1.00000	-0.00283	-1.00000	-1.00000	-0.00588	-1.00000	-1.00000	0.00032	-1.00000	-1.00000
35665	MaroReef	Kure	un	34515	0.00277	-1.00000	-1.00000	0.00040	-1.00000	-1.00000	0.00581	-1.00000	-1.00000	0.00029	-1.00000	-1.00000
35833	MaroReef	Kure	un	34864	-0.05130	-1.00000	-1.00000	-0.01558	-1.00000	-1.00000	0.01923	-1.00000	-1.00000	0.00154	-1.00000	-1.00000
38520	MaroReef	Kure	un	35768	0.07455	-1.00000	-1.00000	0.00572	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00025	-1.00000	-1.00000
38950	MaroReef	Kure	un	36166	-0.05629	-1.00000	-1.00000	-0.00412	-1.00000	-1.00000	0.01583	-1.00000	-1.00000	0.00081	-1.00000	-1.00000
41423	MaroReef	Kure	un	37674	-0.00000	-1.00000	-1.00000	-0.00901	-1.00000	-1.00000	-0.00918	-1.00000	-1.00000	0.00051	-1.00000	-1.00000
41848	MaroReef	Kure	un	38069	-0.05629	-1.00000	-1.00000	-0.00412	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
43331	MaroReef	Kure	un	38445	0.01922	-1.00000	-1.00000	-0.00283	-1.00000	-1.00000	-0.00588	-1.00000	-1.00000	0.00029	-1.00000	-1.00000
43460	MaroReef	Kure	un	38969	-0.01593	-1.00000	-1.00000	-0.01036	-1.00000	-1.00000	-0.00220	-1.00000	-1.00000	0.00094	-1.00000	-1.00000
44617	MaroReef	Kure	un	40745	-0.05381	-1.00000	-1.00000	-0.00427	-1.00000	-1.00000	0.01449	-1.00000	-1.00000	0.00039	-1.00000	-1.00000
60865	MaroReef	Kure	un	45611	-0.03967	-1.00000	-1.00000	-0.00269	-1.00000	-1.00000	0.00292	-1.00000	-1.00000	0.00031	-1.00000	-1.00000
2555271	MaroReef	Kure	un	48479	-0.05033	-1.00000	-1.00000	-0.00438	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
