# Population Pearl_Hermes	178PHPtu,179PHPtu,180PHPtu,181PHPtu
# Population Maui	220MAPtu,222MAPtu,228MAPtu,233MAPtu,238MAPtu,246MAPtu,78MAPtu,79MAPtu,80MAPtu,85MAPtu
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
327	Pearl_Hermes	Maui	un	1	-0.08314	-1.00000	-1.00000	-0.00644	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
878	Pearl_Hermes	Maui	un	622	-0.11782	-1.00000	-1.00000	-0.12856	-1.00000	-1.00000	-0.03146	-1.00000	-1.00000	0.00149	-1.00000	-1.00000
1201	Pearl_Hermes	Maui	un	1938	-0.12032	-1.00000	-1.00000	-0.13224	-1.00000	-1.00000	-0.14286	-1.00000	-1.00000	0.00130	-1.00000	-1.00000
1257	Pearl_Hermes	Maui	un	2322	0.02703	-1.00000	-1.00000	0.00431	-1.00000	-1.00000	0.03252	-1.00000	-1.00000	0.00065	-1.00000	-1.00000
1875	Pearl_Hermes	Maui	un	3674	-0.05033	-1.00000	-1.00000	-0.00438	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
2583	Pearl_Hermes	Maui	un	4728	0.09312	-1.00000	-1.00000	0.00925	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00034	-1.00000	-1.00000
2717	Pearl_Hermes	Maui	un	5098	0.03207	-1.00000	-1.00000	-0.00233	-1.00000	-1.00000	-0.00847	-1.00000	-1.00000	0.00042	-1.00000	-1.00000
3586	Pearl_Hermes	Maui	un	5531	-0.05381	-1.00000	-1.00000	-0.00427	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
4438	Pearl_Hermes	Maui	un	7143	-0.07865	-1.00000	-1.00000	-0.00735	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00015	-1.00000	-1.00000
9984	Pearl_Hermes	Maui	un	9339	0.09312	-1.00000	-1.00000	0.00925	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00036	-1.00000	-1.00000
11008	Pearl_Hermes	Maui	un	10097	-0.07865	-1.00000	-1.00000	-0.00735	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
11315	Pearl_Hermes	Maui	un	11037	-0.07865	-1.00000	-1.00000	-0.00735	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
12220	Pearl_Hermes	Maui	un	12052	-0.05381	-1.00000	-1.00000	-0.00427	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
13955	Pearl_Hermes	Maui	un	13394	0.09312	-1.00000	-1.00000	0.00925	-1.00000	-1.00000	-0.00954	-1.00000	-1.00000	0.00089	-1.00000	-1.00000
14455	Pearl_Hermes	Maui	un	14620	-0.07865	-1.00000	-1.00000	-0.00735	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
14522	Pearl_Hermes	Maui	un	15437	-0.07865	-1.00000	-1.00000	-0.00735	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
14706	Pearl_Hermes	Maui	un	15819	-0.07865	-1.00000	-1.00000	-0.00735	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
14943	Pearl_Hermes	Maui	un	16794	0.09312	-1.00000	-1.00000	0.00925	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00026	-1.00000	-1.00000
15879	Pearl_Hermes	Maui	un	17272	-0.07865	-1.00000	-1.00000	-0.00735	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00018	-1.00000	-1.00000
17180	Pearl_Hermes	Maui	un	18022	-0.05033	-1.00000	-1.00000	-0.00438	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00009	-1.00000	-1.00000
18283	Pearl_Hermes	Maui	un	18751	-0.07865	-1.00000	-1.00000	-0.00735	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00015	-1.00000	-1.00000
21436	Pearl_Hermes	Maui	un	21423	-0.02595	-1.00000	-1.00000	-0.00509	-1.00000	-1.00000	0.00943	-1.00000	-1.00000	0.00037	-1.00000	-1.00000
23288	Pearl_Hermes	Maui	un	22019	-0.07865	-1.00000	-1.00000	-0.00735	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
24817	Pearl_Hermes	Maui	un	22347	-0.08127	-1.00000	-1.00000	-0.00688	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00018	-1.00000	-1.00000
25264	Pearl_Hermes	Maui	un	22661	-0.05033	-1.00000	-1.00000	-0.00438	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00009	-1.00000	-1.00000
25318	Pearl_Hermes	Maui	un	23339	-0.07865	-1.00000	-1.00000	-0.00735	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
25398	Pearl_Hermes	Maui	un	23677	0.01655	-1.00000	-1.00000	-0.01624	-1.00000	-1.00000	0.04990	-1.00000	-1.00000	0.00214	-1.00000	-1.00000
25623	Pearl_Hermes	Maui	un	24464	0.17949	-1.00000	-1.00000	0.02141	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00034	-1.00000	-1.00000
