# Population Pearl_Hermes	178PHPtu,179PHPtu,180PHPtu,181PHPtu
# Population Kure	187KURPtu,188KURPtu,190KURPtu,191KURPtu,192KURPtu,193KURPtu,197KURPtu,198KURPtu,202KURPtu,204KURPtu
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
878	Pearl_Hermes	Kure	un	622	-0.12500	-1.00000	-1.00000	-0.13793	-1.00000	-1.00000	-0.04082	-1.00000	-1.00000	0.00149	-1.00000	-1.00000
1201	Pearl_Hermes	Kure	un	1938	-0.12150	-1.00000	-1.00000	-0.13297	-1.00000	-1.00000	-0.14458	-1.00000	-1.00000	0.00130	-1.00000	-1.00000
1334	Pearl_Hermes	Kure	un	2834	-0.05629	-1.00000	-1.00000	-0.00412	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
2583	Pearl_Hermes	Kure	un	4728	0.12637	-1.00000	-1.00000	0.01100	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00034	-1.00000	-1.00000
2717	Pearl_Hermes	Kure	un	5098	-0.00684	-1.00000	-1.00000	-0.01666	-1.00000	-1.00000	-0.01481	-1.00000	-1.00000	0.00064	-1.00000	-1.00000
9984	Pearl_Hermes	Kure	un	9339	0.03995	-1.00000	-1.00000	-0.00049	-1.00000	-1.00000	-0.00758	-1.00000	-1.00000	0.00051	-1.00000	-1.00000
11315	Pearl_Hermes	Kure	un	11037	-0.08314	-1.00000	-1.00000	-0.00644	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00010	-1.00000	-1.00000
13955	Pearl_Hermes	Kure	un	13394	0.12637	-1.00000	-1.00000	0.01100	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00025	-1.00000	-1.00000
14455	Pearl_Hermes	Kure	un	14620	-0.08127	-1.00000	-1.00000	-0.00688	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
14706	Pearl_Hermes	Kure	un	15819	-0.08314	-1.00000	-1.00000	-0.00644	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
14943	Pearl_Hermes	Kure	un	16794	0.12637	-1.00000	-1.00000	0.01100	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00026	-1.00000	-1.00000
17180	Pearl_Hermes	Kure	un	18022	-0.05629	-1.00000	-1.00000	-0.00412	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00007	-1.00000	-1.00000
18719	Pearl_Hermes	Kure	un	19164	-0.08314	-1.00000	-1.00000	-0.00644	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00011	-1.00000	-1.00000
19311	Pearl_Hermes	Kure	un	19627	-0.08127	-1.00000	-1.00000	-0.00688	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
19853	Pearl_Hermes	Kure	un	20328	-0.00699	-1.00000	-1.00000	-0.00116	-1.00000	-1.00000	0.00730	-1.00000	-1.00000	0.00030	-1.00000	-1.00000
21436	Pearl_Hermes	Kure	un	21423	-0.08314	-1.00000	-1.00000	-0.00644	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00015	-1.00000	-1.00000
24817	Pearl_Hermes	Kure	un	22347	-0.08127	-1.00000	-1.00000	-0.00688	-1.00000	-1.00000	0.01223	-1.00000	-1.00000	0.00048	-1.00000	-1.00000
25398	Pearl_Hermes	Kure	un	23677	0.22581	-1.00000	-1.00000	0.02373	-1.00000	-1.00000	0.10256	-1.00000	-1.00000	0.00190	-1.00000	-1.00000
25623	Pearl_Hermes	Kure	un	24464	0.22581	-1.00000	-1.00000	0.02373	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00034	-1.00000	-1.00000
27012	Pearl_Hermes	Kure	un	27160	0.02541	-1.00000	-1.00000	-0.01149	-1.00000	-1.00000	-0.02102	-1.00000	-1.00000	0.00075	-1.00000	-1.00000
27287	Pearl_Hermes	Kure	un	27529	0.12637	-1.00000	-1.00000	0.01100	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00046	-1.00000	-1.00000
27522	Pearl_Hermes	Kure	un	28271	0.20354	-1.00000	-1.00000	0.02270	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00061	-1.00000	-1.00000
31865	Pearl_Hermes	Kure	un	28955	-0.08314	-1.00000	-1.00000	-0.00644	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00011	-1.00000	-1.00000
33047	Pearl_Hermes	Kure	un	29805	-0.08314	-1.00000	-1.00000	-0.01033	-1.00000	-1.00000	-0.00673	-1.00000	-1.00000	0.00098	-1.00000	-1.00000
33831	Pearl_Hermes	Kure	un	30278	-0.02902	-1.00000	-1.00000	-0.00129	-1.00000	-1.00000	-0.05556	-1.00000	-1.00000	0.00098	-1.00000	-1.00000
34090	Pearl_Hermes	Kure	un	30857	-0.08314	-1.00000	-1.00000	-0.00644	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
34388	Pearl_Hermes	Kure	un	31159	-0.08314	-1.00000	-1.00000	-0.00644	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
35665	Pearl_Hermes	Kure	un	34515	-0.04348	-1.00000	-1.00000	-0.00699	-1.00000	-1.00000	0.00581	-1.00000	-1.00000	0.00029	-1.00000	-1.00000
35833	Pearl_Hermes	Kure	un	34864	0.08571	-1.00000	-1.00000	-0.00589	-1.00000	-1.00000	-0.03659	-1.00000	-1.00000	0.00256	-1.00000	-1.00000
38950	Pearl_Hermes	Kure	un	36166	-0.05629	-1.00000	-1.00000	-0.00412	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
41423	Pearl_Hermes	Kure	un	37674	0.03435	-1.00000	-1.00000	-0.00754	-1.00000	-1.00000	-0.01907	-1.00000	-1.00000	0.00068	-1.00000	-1.00000
41848	Pearl_Hermes	Kure	un	38069	-0.05629	-1.00000	-1.00000	-0.00412	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
43331	Pearl_Hermes	Kure	un	38445	-0.08314	-1.00000	-1.00000	-0.00644	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00010	-1.00000	-1.00000
43460	Pearl_Hermes	Kure	un	38969	-0.08127	-1.00000	-1.00000	-0.01053	-1.00000	-1.00000	0.02251	-1.00000	-1.00000	0.00070	-1.00000	-1.00000
44615	Pearl_Hermes	Kure	un	40046	0.12637	-1.00000	-1.00000	0.01100	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00018	-1.00000	-1.00000
