# Population Oahu	113OAPtu,117OAPtu,123OAPtu,127OAPtu,129OAPtu,132OAPtu,133OAPtu,137OAPtu,92OAPtu,93OAPtu
# Population FrenchFrigateShoals	149FFSPtu,150FFSPtu,151FFSPtu,152FFSPtu,153FFSPtu,158FFSPtu,159FFSPtu,160FFSPtu,161FFSPtu
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
878	Oahu	FrenchFrigateShoals	un	622	-0.05821	-1.00000	-1.00000	-0.05563	-1.00000	-1.00000	-0.04466	-1.00000	-1.00000	0.00127	-1.00000	-1.00000
1180	Oahu	FrenchFrigateShoals	un	1442	0.00601	-1.00000	-1.00000	0.00034	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00011	-1.00000	-1.00000
1201	Oahu	FrenchFrigateShoals	un	1938	-0.05833	-1.00000	-1.00000	-0.06195	-1.00000	-1.00000	-0.06195	-1.00000	-1.00000	0.00130	-1.00000	-1.00000
1257	Oahu	FrenchFrigateShoals	un	2322	0.18492	-1.00000	-1.00000	0.12414	-1.00000	-1.00000	0.13261	-1.00000	-1.00000	0.00193	-1.00000	-1.00000
1334	Oahu	FrenchFrigateShoals	un	2834	0.01437	-1.00000	-1.00000	0.00650	-1.00000	-1.00000	0.02857	-1.00000	-1.00000	0.00056	-1.00000	-1.00000
1558	Oahu	FrenchFrigateShoals	un	3228	0.00540	-1.00000	-1.00000	-0.00642	-1.00000	-1.00000	-0.00569	-1.00000	-1.00000	0.00073	-1.00000	-1.00000
2717	Oahu	FrenchFrigateShoals	un	5098	-0.01896	-1.00000	-1.00000	-0.00116	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
3586	Oahu	FrenchFrigateShoals	un	5531	-0.03134	-1.00000	-1.00000	-0.00618	-1.00000	-1.00000	0.01019	-1.00000	-1.00000	0.00107	-1.00000	-1.00000
4304	Oahu	FrenchFrigateShoals	un	6242	0.00758	-1.00000	-1.00000	0.00572	-1.00000	-1.00000	0.00474	-1.00000	-1.00000	0.00026	-1.00000	-1.00000
4438	Oahu	FrenchFrigateShoals	un	7143	0.00062	-1.00000	-1.00000	-0.00506	-1.00000	-1.00000	0.00645	-1.00000	-1.00000	0.00058	-1.00000	-1.00000
4442	Oahu	FrenchFrigateShoals	un	7562	-0.00544	-1.00000	-1.00000	-0.00030	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00026	-1.00000	-1.00000
5059	Oahu	FrenchFrigateShoals	un	8352	-0.00679	-1.00000	-1.00000	-0.00042	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
9578	Oahu	FrenchFrigateShoals	un	9006	0.00601	-1.00000	-1.00000	0.00034	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
11074	Oahu	FrenchFrigateShoals	un	10569	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
11315	Oahu	FrenchFrigateShoals	un	11037	0.02648	-1.00000	-1.00000	0.00170	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
12728	Oahu	FrenchFrigateShoals	un	12389	-0.01165	-1.00000	-1.00000	-0.00068	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
14518	Oahu	FrenchFrigateShoals	un	15099	-0.00679	-1.00000	-1.00000	-0.00042	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00033	-1.00000	-1.00000
14706	Oahu	FrenchFrigateShoals	un	15819	0.00758	-1.00000	-1.00000	0.00048	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
14943	Oahu	FrenchFrigateShoals	un	16794	-0.01165	-1.00000	-1.00000	-0.00068	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00010	-1.00000	-1.00000
15879	Oahu	FrenchFrigateShoals	un	17272	-0.01468	-1.00000	-1.00000	-0.00097	-1.00000	-1.00000	0.00015	-1.00000	-1.00000	0.00107	-1.00000	-1.00000
18719	Oahu	FrenchFrigateShoals	un	19164	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00049	-1.00000	-1.00000	0.00038	-1.00000	-1.00000
21436	Oahu	FrenchFrigateShoals	un	21423	-0.00871	-1.00000	-1.00000	-0.00062	-1.00000	-1.00000	0.00911	-1.00000	-1.00000	0.00157	-1.00000	-1.00000
23288	Oahu	FrenchFrigateShoals	un	22019	0.00145	-1.00000	-1.00000	-0.00334	-1.00000	-1.00000	-0.00352	-1.00000	-1.00000	0.00034	-1.00000	-1.00000
24817	Oahu	FrenchFrigateShoals	un	22347	0.10865	-1.00000	-1.00000	0.01961	-1.00000	-1.00000	0.01060	-1.00000	-1.00000	0.00102	-1.00000	-1.00000
25264	Oahu	FrenchFrigateShoals	un	22661	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
25318	Oahu	FrenchFrigateShoals	un	23339	0.00758	-1.00000	-1.00000	0.00048	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00037	-1.00000	-1.00000
25398	Oahu	FrenchFrigateShoals	un	23677	-0.03907	-1.00000	-1.00000	-0.01013	-1.00000	-1.00000	-0.00813	-1.00000	-1.00000	0.00046	-1.00000	-1.00000
25605	Oahu	FrenchFrigateShoals	un	24139	-0.00679	-1.00000	-1.00000	-0.00042	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
26429	Oahu	FrenchFrigateShoals	un	25269	-0.00679	-1.00000	-1.00000	-0.00042	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00011	-1.00000	-1.00000
26712	Oahu	FrenchFrigateShoals	un	26475	-0.00871	-1.00000	-1.00000	-0.00062	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00018	-1.00000	-1.00000
27287	Oahu	FrenchFrigateShoals	un	27529	-0.01468	-1.00000	-1.00000	-0.00097	-1.00000	-1.00000	0.00168	-1.00000	-1.00000	0.00064	-1.00000	-1.00000
27423	Oahu	FrenchFrigateShoals	un	27802	-0.00871	-1.00000	-1.00000	-0.00062	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
30368	Oahu	FrenchFrigateShoals	un	28546	-0.00679	-1.00000	-1.00000	-0.00042	-1.00000	-1.00000	0.00043	-1.00000	-1.00000	0.00041	-1.00000	-1.00000
31865	Oahu	FrenchFrigateShoals	un	28955	0.01437	-1.00000	-1.00000	0.00086	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
33831	Oahu	FrenchFrigateShoals	un	30278	0.00236	-1.00000	-1.00000	0.06419	-1.00000	-1.00000	0.11914	-1.00000	-1.00000	0.00125	-1.00000	-1.00000
35043	Oahu	FrenchFrigateShoals	un	32575	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
35167	Oahu	FrenchFrigateShoals	un	33981	-0.00679	-1.00000	-1.00000	-0.00042	-1.00000	-1.00000	0.00043	-1.00000	-1.00000	0.00031	-1.00000	-1.00000
35665	Oahu	FrenchFrigateShoals	un	34515	0.01857	-1.00000	-1.00000	0.00126	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00021	-1.00000	-1.00000
35833	Oahu	FrenchFrigateShoals	un	34864	-0.01468	-1.00000	-1.00000	0.03817	-1.00000	-1.00000	0.04329	-1.00000	-1.00000	0.00084	-1.00000	-1.00000
39704	Oahu	FrenchFrigateShoals	un	36474	0.00758	-1.00000	-1.00000	0.00048	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
40411	Oahu	FrenchFrigateShoals	un	36812	0.00758	-1.00000	-1.00000	0.00048	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00015	-1.00000	-1.00000
40464	Oahu	FrenchFrigateShoals	un	37241	0.02648	-1.00000	-1.00000	0.00170	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
41423	Oahu	FrenchFrigateShoals	un	37674	0.00062	-1.00000	-1.00000	-0.00506	-1.00000	-1.00000	0.00645	-1.00000	-1.00000	0.00063	-1.00000	-1.00000
41848	Oahu	FrenchFrigateShoals	un	38069	-0.00871	-1.00000	-1.00000	-0.00062	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
43460	Oahu	FrenchFrigateShoals	un	38969	0.00986	-1.00000	-1.00000	0.00783	-1.00000	-1.00000	0.00637	-1.00000	-1.00000	0.00034	-1.00000	-1.00000
45671	Oahu	FrenchFrigateShoals	un	43182	0.00000	-1.00000	-1.00000	0.00474	-1.00000	-1.00000	0.00474	-1.00000	-1.00000	0.00033	-1.00000	-1.00000
45707	Oahu	FrenchFrigateShoals	un	43564	0.01437	-1.00000	-1.00000	0.00086	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00037	-1.00000	-1.00000
46674	Oahu	FrenchFrigateShoals	un	43902	-0.01896	-1.00000	-1.00000	-0.00116	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00009	-1.00000	-1.00000
47664	Oahu	FrenchFrigateShoals	un	44474	0.00040	-1.00000	-1.00000	0.00955	-1.00000	-1.00000	0.04091	-1.00000	-1.00000	0.00106	-1.00000	-1.00000
49386	Oahu	FrenchFrigateShoals	un	44798	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
