# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	Column	Fisher's P	Odds Ratio	CI Low	CI High	LOD	AMOVA Fst	Smoothed AMOVA Fst	Smoothed AMOVA Fst P-value
327	Pearl_Hermes	BigIsland	un	26	25	1.000000000	0.41176	0.03265	5.19291	0.38535	0.00452	-1.00000	-1.00000
878	Pearl_Hermes	BigIsland	un	638	16	0.647127761	0.52941	0.08815	3.17956	0.27621	0.01538	-1.00000	-1.00000
1180	Pearl_Hermes	BigIsland	un	1488	46	1.000000000	0.41176	0.03265	5.19291	0.38535	0.00452	-1.00000	-1.00000
1180	Pearl_Hermes	BigIsland	un	1694	252	1.000000000	0.41176	0.03265	5.19291	0.38535	0.00452	-1.00000	-1.00000
1201	Pearl_Hermes	BigIsland	un	2001	63	1.000000000	1.13333	0.19804	6.48587	0.05436	0.00052	-1.00000	-1.00000
1257	Pearl_Hermes	BigIsland	un	2630	308	0.030428814	7.00000	0.77026	63.61528	0.84510	0.14286	-1.00000	-1.00000
1257	Pearl_Hermes	BigIsland	un	2774	452	0.596829913	1.20690	0.12097	12.04092	0.08167	0.02206	-1.00000	-1.00000
1875	Pearl_Hermes	BigIsland	un	3895	221	1.000000000	0.52941	0.04301	6.51714	0.27621	0.00574	-1.00000	-1.00000
2388	Pearl_Hermes	BigIsland	un	4552	137	1.000000000	0.64286	0.05197	7.95189	0.19189	0.00816	-1.00000	-1.00000
2583	Pearl_Hermes	BigIsland	un	4890	162	0.200000000	0.12121	0.00974	1.50907	0.91645	0.10256	-1.00000	-1.00000
2717	Pearl_Hermes	BigIsland	un	5137	39	1.000000000	0.52941	0.04301	6.51714	0.27621	0.00574	-1.00000	-1.00000
2717	Pearl_Hermes	BigIsland	un	5162	64	1.000000000	0.52941	0.04301	6.51714	0.27621	0.00574	-1.00000	-1.00000
2717	Pearl_Hermes	BigIsland	un	5240	142	0.190476190	0.11429	0.00919	1.42096	0.94201	0.10366	-1.00000	-1.00000
3586	Pearl_Hermes	BigIsland	un	5724	193	1.000000000	0.87097	0.08046	9.42754	0.06000	0.01316	-1.00000	-1.00000
4438	Pearl_Hermes	BigIsland	un	7197	54	1.000000000	0.46667	0.03689	5.90281	0.33099	0.00571	-1.00000	-1.00000
4438	Pearl_Hermes	BigIsland	un	7199	56	1.000000000	0.72414	0.06510	8.05467	0.14018	0.01176	-1.00000	-1.00000
4438	Pearl_Hermes	BigIsland	un	7317	174	1.000000000	0.46667	0.03689	5.90281	0.33099	0.00571	-1.00000	-1.00000
8862	Pearl_Hermes	BigIsland	un	8710	21	1.000000000	0.50000	0.03946	6.33584	0.30103	0.00649	-1.00000	-1.00000
8862	Pearl_Hermes	BigIsland	un	8720	31	1.000000000	0.50000	0.03946	6.33584	0.30103	0.00649	-1.00000	-1.00000
9984	Pearl_Hermes	BigIsland	un	9362	23	1.000000000	0.52941	0.04301	6.51714	0.27621	0.00574	-1.00000	-1.00000
9984	Pearl_Hermes	BigIsland	un	9600	261	0.190476190	0.11429	0.00919	1.42096	0.94201	0.10366	-1.00000	-1.00000
11008	Pearl_Hermes	BigIsland	un	10281	184	1.000000000	0.50000	0.03946	6.33584	0.30103	0.00649	-1.00000	-1.00000
11008	Pearl_Hermes	BigIsland	un	10306	209	1.000000000	0.43750	0.03464	5.52516	0.35902	0.00507	-1.00000	-1.00000
11315	Pearl_Hermes	BigIsland	un	11135	98	1.000000000	0.41176	0.03265	5.19291	0.38535	0.00452	-1.00000	-1.00000
11315	Pearl_Hermes	BigIsland	un	11361	324	1.000000000	0.41176	0.03265	5.19291	0.38535	0.00452	-1.00000	-1.00000
13246	Pearl_Hermes	BigIsland	un	13058	51	1.000000000	0.52941	0.04301	6.51714	0.27621	0.00574	-1.00000	-1.00000
13246	Pearl_Hermes	BigIsland	un	13141	134	1.000000000	0.81818	0.07571	8.84221	0.08715	0.01176	-1.00000	-1.00000
13955	Pearl_Hermes	BigIsland	un	13536	142	1.000000000	0.52941	0.04301	6.51714	0.27621	0.00574	-1.00000	-1.00000
