# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	Column	Fisher's P	Odds Ratio	CI Low	CI High	LOD	AMOVA Fst	Smoothed AMOVA Fst	Smoothed AMOVA Fst P-value
327	PioneerBanks	Maui	un	95	94	1.000000000	0.70000	0.05465	8.96634	0.15490	0.01200	-1.00000	-1.00000
878	PioneerBanks	Maui	un	638	16	1.000000000	0.80000	0.12569	5.09188	0.09691	0.00233	-1.00000	-1.00000
1201	PioneerBanks	Maui	un	2001	63	1.000000000	1.28571	0.19607	8.43111	0.10914	0.00312	-1.00000	-1.00000
1257	PioneerBanks	Maui	un	2630	308	0.539243365	2.33333	0.22771	23.90950	0.36798	0.06667	-1.00000	-1.00000
1257	PioneerBanks	Maui	un	2774	452	1.000000000	1.23529	0.10893	14.00850	0.09177	0.03030	-1.00000	-1.00000
1875	PioneerBanks	Maui	un	3895	221	1.000000000	0.87500	0.06767	11.31376	0.05799	0.01786	-1.00000	-1.00000
2717	PioneerBanks	Maui	un	5162	64	1.000000000	0.77778	0.06047	10.00435	0.10914	0.01449	-1.00000	-1.00000
3586	PioneerBanks	Maui	un	5724	193	1.000000000	0.77778	0.06047	10.00435	0.10914	0.01449	-1.00000	-1.00000
4438	PioneerBanks	Maui	un	7234	91	1.000000000	0.87500	0.06767	11.31376	0.05799	0.01786	-1.00000	-1.00000
11008	PioneerBanks	Maui	un	10306	209	1.000000000	0.87500	0.06767	11.31376	0.05799	0.01786	-1.00000	-1.00000
11315	PioneerBanks	Maui	un	11251	214	1.000000000	0.87500	0.06767	11.31376	0.05799	0.01786	-1.00000	-1.00000
12220	PioneerBanks	Maui	un	12211	159	1.000000000	0.77778	0.06047	10.00435	0.10914	0.01449	-1.00000	-1.00000
14455	PioneerBanks	Maui	un	14655	35	1.000000000	0.87500	0.06767	11.31376	0.05799	0.01786	-1.00000	-1.00000
14522	PioneerBanks	Maui	un	15450	13	1.000000000	0.87500	0.06767	11.31376	0.05799	0.01786	-1.00000	-1.00000
14706	PioneerBanks	Maui	un	15946	127	1.000000000	0.87500	0.06767	11.31376	0.05799	0.01786	-1.00000	-1.00000
15879	PioneerBanks	Maui	un	17385	113	1.000000000	0.87500	0.06767	11.31376	0.05799	0.01786	-1.00000	-1.00000
17180	PioneerBanks	Maui	un	18153	131	1.000000000	0.87500	0.06767	11.31376	0.05799	0.01786	-1.00000	-1.00000
18283	PioneerBanks	Maui	un	18978	227	1.000000000	0.87500	0.06767	11.31376	0.05799	0.01786	-1.00000	-1.00000
21436	PioneerBanks	Maui	un	21510	87	1.000000000	1.40000	0.12269	15.97498	0.14613	0.03750	-1.00000	-1.00000
21436	PioneerBanks	Maui	un	21519	96	0.272727273	0.17647	0.01344	2.31640	0.75333	0.12698	-1.00000	-1.00000
21436	PioneerBanks	Maui	un	21546	123	0.272727273	0.17647	0.01344	2.31640	0.75333	0.12698	-1.00000	-1.00000
23288	PioneerBanks	Maui	un	22199	180	0.272727273	0.17647	0.01344	2.31640	0.75333	0.12698	-1.00000	-1.00000
23288	PioneerBanks	Maui	un	22213	194	1.000000000	0.87500	0.06767	11.31376	0.05799	0.01786	-1.00000	-1.00000
24817	PioneerBanks	Maui	un	22425	78	1.000000000	0.77778	0.06047	10.00435	0.10914	0.01449	-1.00000	-1.00000
25264	PioneerBanks	Maui	un	22689	28	1.000000000	0.87500	0.06767	11.31376	0.05799	0.01786	-1.00000	-1.00000
25318	PioneerBanks	Maui	un	23584	245	1.000000000	0.87500	0.06767	11.31376	0.05799	0.01786	-1.00000	-1.00000
