# Population MaroReef	164MRPtu,165MRPtu,169MRPtu,172MRPtu,175MRPtu
# Population BigIsland	393BIPtu,397BIPtu,398BIPtu,399BIPtu,405BIPtu,408BIPtu,412BIPtu,413BIPtu,414BIPtu,415BIPtu,420BIPtu,421BIPtu,422BIPtu,423BIPtu,424BIPtu,428BIPtu,429BIPtu
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
327	MaroReef	BigIsland	un	1	-0.04763	-1.00000	-1.00000	-0.00228	-1.00000	-1.00000	0.00389	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
878	MaroReef	BigIsland	un	622	-0.02170	-1.00000	-1.00000	-0.02140	-1.00000	-1.00000	-0.02933	-1.00000	-1.00000	0.00127	-1.00000	-1.00000
1180	MaroReef	BigIsland	un	1442	-0.04821	-1.00000	-1.00000	-0.00351	-1.00000	-1.00000	0.00095	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
1201	MaroReef	BigIsland	un	1938	-0.05989	-1.00000	-1.00000	-0.06142	-1.00000	-1.00000	-0.06114	-1.00000	-1.00000	0.00137	-1.00000	-1.00000
1257	MaroReef	BigIsland	un	2322	-0.03661	-1.00000	-1.00000	-0.04454	-1.00000	-1.00000	0.02112	-1.00000	-1.00000	0.00167	-1.00000	-1.00000
1875	MaroReef	BigIsland	un	3674	-0.04821	-1.00000	-1.00000	-0.00219	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
2388	MaroReef	BigIsland	un	4415	-0.06143	-1.00000	-1.00000	-0.00342	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00011	-1.00000	-1.00000
2717	MaroReef	BigIsland	un	5098	-0.06313	-1.00000	-1.00000	-0.00511	-1.00000	-1.00000	0.00095	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
3586	MaroReef	BigIsland	un	5531	-0.02455	-1.00000	-1.00000	-0.00240	-1.00000	-1.00000	0.00802	-1.00000	-1.00000	0.00049	-1.00000	-1.00000
4438	MaroReef	BigIsland	un	7143	-0.04997	-1.00000	-1.00000	-0.00435	-1.00000	-1.00000	0.00920	-1.00000	-1.00000	0.00032	-1.00000	-1.00000
4442	MaroReef	BigIsland	un	7562	0.19502	-1.00000	-1.00000	0.01328	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00065	-1.00000	-1.00000
8862	MaroReef	BigIsland	un	8689	0.02899	-1.00000	-1.00000	0.00442	-1.00000	-1.00000	-0.00532	-1.00000	-1.00000	0.00062	-1.00000	-1.00000
9984	MaroReef	BigIsland	un	9339	-0.06313	-1.00000	-1.00000	-0.00298	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
11008	MaroReef	BigIsland	un	10097	-0.04608	-1.00000	-1.00000	-0.00358	-1.00000	-1.00000	0.03919	-1.00000	-1.00000	0.00062	-1.00000	-1.00000
11315	MaroReef	BigIsland	un	11037	-0.04821	-1.00000	-1.00000	-0.00351	-1.00000	-1.00000	0.00095	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
13246	MaroReef	BigIsland	un	13007	-0.03399	-1.00000	-1.00000	-0.00281	-1.00000	-1.00000	0.00389	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
13955	MaroReef	BigIsland	un	13394	-0.04693	-1.00000	-1.00000	-0.00358	-1.00000	-1.00000	0.02222	-1.00000	-1.00000	0.00089	-1.00000	-1.00000
14522	MaroReef	BigIsland	un	15437	-0.04821	-1.00000	-1.00000	-0.00219	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
15879	MaroReef	BigIsland	un	17272	-0.06267	-1.00000	-1.00000	-0.00634	-1.00000	-1.00000	0.00888	-1.00000	-1.00000	0.00164	-1.00000	-1.00000
16369	MaroReef	BigIsland	un	17625	-0.04821	-1.00000	-1.00000	-0.00219	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00007	-1.00000	-1.00000
18283	MaroReef	BigIsland	un	18751	-0.06715	-1.00000	-1.00000	-0.02906	-1.00000	-1.00000	-0.03216	-1.00000	-1.00000	0.00074	-1.00000	-1.00000
18719	MaroReef	BigIsland	un	19164	0.04480	-1.00000	-1.00000	0.03789	-1.00000	-1.00000	0.01343	-1.00000	-1.00000	0.00121	-1.00000	-1.00000
21436	MaroReef	BigIsland	un	21423	-0.01527	-1.00000	-1.00000	-0.00161	-1.00000	-1.00000	-0.01006	-1.00000	-1.00000	0.00053	-1.00000	-1.00000
23288	MaroReef	BigIsland	un	22019	0.20708	-1.00000	-1.00000	0.01356	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00038	-1.00000	-1.00000
24817	MaroReef	BigIsland	un	22347	-0.01266	-1.00000	-1.00000	-0.00209	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00032	-1.00000	-1.00000
25318	MaroReef	BigIsland	un	23339	0.14430	-1.00000	-1.00000	0.00797	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00030	-1.00000	-1.00000
25398	MaroReef	BigIsland	un	23677	0.07784	-1.00000	-1.00000	0.00526	-1.00000	-1.00000	0.02385	-1.00000	-1.00000	0.00097	-1.00000	-1.00000
25623	MaroReef	BigIsland	un	24464	-0.04821	-1.00000	-1.00000	-0.00351	-1.00000	-1.00000	0.00095	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
26579	MaroReef	BigIsland	un	26211	0.03557	-1.00000	-1.00000	-0.00118	-1.00000	-1.00000	-0.00486	-1.00000	-1.00000	0.00060	-1.00000	-1.00000
27012	MaroReef	BigIsland	un	27160	0.13502	-1.00000	-1.00000	0.02502	-1.00000	-1.00000	0.01229	-1.00000	-1.00000	0.00059	-1.00000	-1.00000
27287	MaroReef	BigIsland	un	27529	-0.06267	-1.00000	-1.00000	-0.00311	-1.00000	-1.00000	0.02019	-1.00000	-1.00000	0.00177	-1.00000	-1.00000
27423	MaroReef	BigIsland	un	27802	0.11672	-1.00000	-1.00000	0.00729	-1.00000	-1.00000	0.01212	-1.00000	-1.00000	0.00093	-1.00000	-1.00000
33831	MaroReef	BigIsland	un	30278	-0.06861	-1.00000	-1.00000	-0.09079	-1.00000	-1.00000	-0.04662	-1.00000	-1.00000	0.00178	-1.00000	-1.00000
34090	MaroReef	BigIsland	un	30857	-0.04608	-1.00000	-1.00000	-0.00245	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
