# Population FrenchFrigateShoals	149FFSPtu,150FFSPtu,151FFSPtu,152FFSPtu,153FFSPtu,158FFSPtu,159FFSPtu,160FFSPtu,161FFSPtu
# Population BigIsland	393BIPtu,397BIPtu,398BIPtu,399BIPtu,405BIPtu,408BIPtu,412BIPtu,413BIPtu,414BIPtu,415BIPtu,420BIPtu,421BIPtu,422BIPtu,423BIPtu,424BIPtu,428BIPtu,429BIPtu
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
327	FrenchFrigateShoals	BigIsland	un	1	-0.03004	-1.00000	-1.00000	-0.00133	-1.00000	-1.00000	0.00389	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
878	FrenchFrigateShoals	BigIsland	un	622	-0.05125	-1.00000	-1.00000	-0.04561	-1.00000	-1.00000	-0.05651	-1.00000	-1.00000	0.00130	-1.00000	-1.00000
1180	FrenchFrigateShoals	BigIsland	un	1442	-0.00076	-1.00000	-1.00000	-0.00275	-1.00000	-1.00000	-0.00268	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
1201	FrenchFrigateShoals	BigIsland	un	1938	-0.04711	-1.00000	-1.00000	-0.04846	-1.00000	-1.00000	-0.04651	-1.00000	-1.00000	0.00137	-1.00000	-1.00000
1257	FrenchFrigateShoals	BigIsland	un	2322	0.03057	-1.00000	-1.00000	0.09724	-1.00000	-1.00000	0.13082	-1.00000	-1.00000	0.00238	-1.00000	-1.00000
1334	FrenchFrigateShoals	BigIsland	un	2834	0.04667	-1.00000	-1.00000	0.00909	-1.00000	-1.00000	0.01558	-1.00000	-1.00000	0.00071	-1.00000	-1.00000
1558	FrenchFrigateShoals	BigIsland	un	3228	0.05332	-1.00000	-1.00000	0.00281	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00048	-1.00000	-1.00000
1875	FrenchFrigateShoals	BigIsland	un	3674	-0.02518	-1.00000	-1.00000	-0.00102	-1.00000	-1.00000	0.00377	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
2388	FrenchFrigateShoals	BigIsland	un	4415	-0.02179	-1.00000	-1.00000	-0.00102	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00011	-1.00000	-1.00000
2717	FrenchFrigateShoals	BigIsland	un	5098	-0.03084	-1.00000	-1.00000	-0.00170	-1.00000	-1.00000	0.00095	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
3586	FrenchFrigateShoals	BigIsland	un	5531	-0.02259	-1.00000	-1.00000	-0.00422	-1.00000	-1.00000	-0.00857	-1.00000	-1.00000	0.00125	-1.00000	-1.00000
4304	FrenchFrigateShoals	BigIsland	un	6242	0.03697	-1.00000	-1.00000	0.00848	-1.00000	-1.00000	0.00474	-1.00000	-1.00000	0.00026	-1.00000	-1.00000
4438	FrenchFrigateShoals	BigIsland	un	7143	-0.00012	-1.00000	-1.00000	-0.00447	-1.00000	-1.00000	-0.00041	-1.00000	-1.00000	0.00077	-1.00000	-1.00000
5059	FrenchFrigateShoals	BigIsland	un	8352	0.03774	-1.00000	-1.00000	0.00157	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
8862	FrenchFrigateShoals	BigIsland	un	8689	-0.02179	-1.00000	-1.00000	-0.00102	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
9578	FrenchFrigateShoals	BigIsland	un	9006	0.03774	-1.00000	-1.00000	0.00157	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
9984	FrenchFrigateShoals	BigIsland	un	9339	-0.02062	-1.00000	-1.00000	-0.00081	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
11008	FrenchFrigateShoals	BigIsland	un	10097	-0.02179	-1.00000	-1.00000	-0.00065	-1.00000	-1.00000	0.03919	-1.00000	-1.00000	0.00062	-1.00000	-1.00000
